"cutx2 [mm]","cuty1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.4,0.4,4,-5.10237765233311
0.4,0.4,4.0125,-5.1716232303593
0.4,0.4,4.025,-5.24208232285336
0.4,0.4,4.0375,-5.31403958570731
0.4,0.4,4.05,-5.38779555187846
0.4,0.4,4.0625,-5.46366585423213
0.4,0.4,4.075,-5.54198048933589
0.4,0.4,4.0875,-5.62308313954665
0.4,0.4,4.1,-5.70733056839225
0.4,0.4,4.1125,-5.79509210186593
0.4,0.4,4.125,-5.88674920620861
0.4,0.4,4.1375,-5.98269517101356
0.4,0.4,4.15,-6.08333490521968
0.4,0.4,4.1625,-6.18908485288701
0.4,0.4,4.175,-6.30037303560551
0.4,0.4,4.1875,-6.41763922907014
0.4,0.4,4.2,-6.54133528283496
0.4,0.4,4.2125,-6.67192559455384
0.4,0.4,4.225,-6.80988775328795
0.4,0.4,4.2375,-6.95571337065404
0.4,0.4,4.25,-7.1099091238645
0.4,0.4,4.2625,-7.27299804127237
0.4,0.4,4.275,-7.44552106876066
0.4,0.4,4.2875,-7.62803896486805
0.4,0.4,4.3,-7.8211345836489
0.4,0.4,4.3125,-8.02541561775923
0.4,0.4,4.325,-8.24151789051465
0.4,0.4,4.3375,-8.47010930516453
0.4,0.4,4.35,-8.71189458367506
0.4,0.4,4.3625,-8.96762095693212
0.4,0.4,4.375,-9.23808500525664
0.4,0.4,4.3875,-9.52414089502
0.4,0.4,4.4,-9.82671031697884
0.4,0.4,4.4125,-10.1467945095576
0.4,0.4,4.425,-10.4854888519039
0.4,0.4,4.4375,-10.8440006459867
0.4,0.4,4.45,-11.2236708873838
0.4,0.4,4.4625,-11.626001068303
0.4,0.4,4.475,-12.0526863913639
0.4,0.4,4.4875,-12.5056572365619
0.4,0.4,4.5,-12.9871313766522
0.4,0.4,4.5125,-13.4996803650829
0.4,0.4,4.525,-14.0463148640378
0.4,0.4,4.5375,-14.6305956510657
0.4,0.4,4.55,-15.256779984029
0.4,0.4,4.5625,-15.9300174691284
0.4,0.4,4.575,-16.6566164758633
0.4,0.4,4.5875,-17.4444129931635
0.4,0.4,4.6,-18.303291153643
0.4,0.4,4.6125,-19.2459326280865
0.4,0.4,4.625,-20.2889170885321
0.4,0.4,4.6375,-21.4543654167914
0.4,0.4,4.65,-22.7724079291294
0.4,0.4,4.6625,-24.2847889215495
0.4,0.4,4.675,-26.0493589180871
0.4,0.4,4.6875,-28.1410692888681
0.4,0.4,4.7,-30.6203273202089
0.4,0.4,4.7125,-33.3081128149397
0.4,0.4,4.725,-34.9646444080447
0.4,0.4,4.7375,-33.905258425107
0.4,0.4,4.75,-31.4578198845149
0.4,0.4,4.7625,-29.114142930546
0.4,0.4,4.775,-27.1565788911455
0.4,0.4,4.7875,-25.5386653486818
0.4,0.4,4.8,-24.1835142079571
0.4,0.4,4.8125,-23.0299498970656
0.4,0.4,4.825,-22.033598391519
0.4,0.4,4.8375,-21.1624401859802
0.4,0.4,4.85,-20.3930008790063
0.4,0.4,4.8625,-19.7077102670447
0.4,0.4,4.875,-19.0931422999314
0.4,0.4,4.8875,-18.5388392076411
0.4,0.4,4.9,-18.0365136209163
0.4,0.4,4.9125,-17.5794965549985
0.4,0.4,4.925,-17.1623477971202
0.4,0.4,4.9375,-16.7805755951996
0.4,0.4,4.95,-16.4304313404477
0.4,0.4,4.9625,-16.1087566754565
0.4,0.4,4.975,-15.8128679033088
0.4,0.4,4.9875,-15.5404673765833
0.4,0.4,5,-15.2895747003788
0.4,0.4,5.0125,-15.0584726932523
0.4,0.4,5.025,-14.8456644839436
0.4,0.4,5.0375,-14.6498391124349
0.4,0.4,5.05,-14.4698436985708
0.4,0.4,5.0625,-14.3046607349067
0.4,0.4,5.075,-14.1533894164185
0.4,0.4,5.0875,-14.015230178657
0.4,0.4,5.1,-13.8894718073441
0.4,0.4,5.1125,-13.775480624649
0.4,0.4,5.125,-13.6726913645974
0.4,0.4,5.1375,-13.5805994316695
0.4,0.4,5.15,-13.4987542985514
0.4,0.4,5.1625,-13.4267538475307
0.4,0.4,5.175,-13.3642394970592
0.4,0.4,5.1875,-13.3108919842886
0.4,0.4,5.2,-13.2664276973436
0.4,0.4,5.2125,-13.2305954690438
0.4,0.4,5.225,-13.2031737578988
0.4,0.4,5.2375,-13.1839681536739
0.4,0.4,5.25,-13.1728091529784
0.4,0.4,5.2625,-13.1695501575995
0.4,0.4,5.275,-13.1740656527762
0.4,0.4,5.2875,-13.1862495263577
0.4,0.4,5.3,-13.2060134919708
0.4,0.4,5.3125,-13.2332855802407
0.4,0.4,5.325,-13.2680086617873
0.4,0.4,5.3375,-13.3101389646307
0.4,0.4,5.35,-13.3596445458562
0.4,0.4,5.3625,-13.416503673513
0.4,0.4,5.375,-13.4807030695009
0.4,0.4,5.3875,-13.5522359574467
0.4,0.4,5.4,-13.6310998507781
0.4,0.4,5.4125,-13.7172940062531
0.4,0.4,5.425,-13.8108164551878
0.4,0.4,5.4375,-13.911660510493
0.4,0.4,5.45,-14.0198106307908
0.4,0.4,5.4625,-14.1352375040182
0.4,0.4,5.475,-14.2578921930214
0.4,0.4,5.4875,-14.3876991648876
0.4,0.4,5.5,-14.5245480066513
0.4,0.4,5.5125,-14.6682836146683
0.4,0.4,5.525,-14.8186946392899
0.4,0.4,5.5375,-14.9754999752524
0.4,0.4,5.55,-15.138333123783
0.4,0.4,5.5625,-15.3067243264542
0.4,0.4,5.575,-15.4800805036648
0.4,0.4,5.5875,-15.6576632439813
0.4,0.4,5.6,-15.8385654137817
0.4,0.4,5.6125,-16.0216874173449
0.4,0.4,5.625,-16.2057147594423
0.4,0.4,5.6375,-16.3890993529836
0.4,0.4,5.65,-16.5700479414655
0.4,0.4,5.6625,-16.7465219812924
0.4,0.4,5.675,-16.9162541678818
0.4,0.4,5.6875,-17.0767872014142
0.4,0.4,5.7,-17.2255399753831
0.4,0.4,5.7125,-17.3599046986665
0.4,0.4,5.725,-17.47737519467
0.4,0.4,5.7375,-17.5757017461822
0.4,0.4,5.75,-17.6530619104949
0.4,0.4,5.7625,-17.7082309211951
0.4,0.4,5.775,-17.7407313314177
0.4,0.4,5.7875,-17.7509411368661
0.4,0.4,5.8,-17.7401436847432
0.4,0.4,5.8125,-17.7105107883096
0.4,0.4,5.825,-17.665020730871
0.4,0.4,5.8375,-17.6073225237812
0.4,0.4,5.85,-17.5415643813298
0.4,0.4,5.8625,-17.4722065501132
0.4,0.4,5.875,-17.403836552586
0.4,0.4,5.8875,-17.3409998966565
0.4,0.4,5.9,-17.288053121723
0.4,0.4,5.9125,-17.2490401985674
0.4,0.4,5.925,-17.2275886571415
0.4,0.4,5.9375,-17.2268186154402
0.4,0.4,5.95,-17.249255914733
0.4,0.4,5.9625,-17.296739446953
0.4,0.4,5.975,-17.3703121791045
0.4,0.4,5.9875,-17.4700853231532
0.4,0.4,6,-17.5950660499017
0.4,0.4,6.0125,-17.7429423329616
0.4,0.4,6.025,-17.9098261730605
0.4,0.4,6.0375,-18.0899719536113
0.4,0.4,6.05,-18.2755139121751
0.4,0.4,6.0625,-18.4563077572703
0.4,0.4,6.075,-18.6200110507305
0.4,0.4,6.0875,-18.7525738530159
0.4,0.4,6.1,-18.8392920766215
0.4,0.4,6.1125,-18.8664483752295
0.4,0.4,6.125,-18.8233151384346
0.4,0.4,6.1375,-18.704011694287
0.4,0.4,6.15,-18.5085893288631
0.4,0.4,6.1625,-18.2429241421338
0.4,0.4,6.175,-17.9174639215967
0.4,0.4,6.1875,-17.5453118054243
0.4,0.4,6.2,-17.140273973716
0.4,0.4,6.2125,-16.7153348164524
0.4,0.4,6.225,-16.2817338607341
0.4,0.4,6.2375,-15.8485874599223
0.4,0.4,6.25,-15.4228930328823
0.4,0.4,6.2625,-15.0097484062665
0.4,0.4,6.275,-14.6126602025995
0.4,0.4,6.2875,-14.2338638516241
0.4,0.4,6.3,-13.8746159602607
0.4,0.4,6.3125,-13.5354440873642
0.4,0.4,6.325,-13.2163521347698
0.4,0.4,6.3375,-12.9169854921663
0.4,0.4,6.35,-12.6367619526828
0.4,0.4,6.3625,-12.3749743535256
0.4,0.4,6.375,-12.1308701004924
0.4,0.4,6.3875,-11.9037118176678
0.4,0.4,6.4,-11.6928225777378
0.4,0.4,6.4125,-11.4976185785351
0.4,0.4,6.425,-11.3176317132379
0.4,0.4,6.4375,-11.1525241795645
0.4,0.4,6.45,-11.0020970325253
0.4,0.4,6.4625,-10.8662943639584
0.4,0.4,6.475,-10.7452045650225
0.4,0.4,6.4875,-10.6390598832046
0.4,0.4,6.5,-10.548235222198
0.4,0.4,6.5125,-10.473246852004
0.4,0.4,6.525,-10.4147514007733
0.4,0.4,6.5375,-10.3735451871517
0.4,0.4,6.55,-10.3505636174904
0.4,0.4,6.5625,-10.3468800063432
0.4,0.4,6.575,-10.3637027706334
0.4,0.4,6.5875,-10.4023694883468
0.4,0.4,6.6,-10.4643358013078
0.4,0.4,6.6125,-10.55115659517
0.4,0.4,6.625,-10.6644563550867
0.4,0.4,6.6375,-10.8058851653235
0.4,0.4,6.65,-10.9770566530576
0.4,0.4,6.6625,-11.1794645101633
0.4,0.4,6.675,-11.4143753987616
0.4,0.4,6.6875,-11.6826984866592
0.4,0.4,6.7,-11.9848360633358
0.4,0.4,6.7125,-12.3205261241844
0.4,0.4,6.725,-12.6886967149842
0.4,0.4,6.7375,-13.0873627764677
0.4,0.4,6.75,-13.5136074181809
0.4,0.4,6.7625,-13.9636968685472
0.4,0.4,6.775,-14.4333748293224
0.4,0.4,6.7875,-14.918358980978
0.4,0.4,6.8,-15.4150141083212
0.4,0.4,6.8125,-15.9211069910542
0.4,0.4,6.825,-16.436477172182
0.4,0.4,6.8375,-16.9634132552144
0.4,0.4,6.85,-17.5065223843887
0.4,0.4,6.8625,-18.071899248351
0.4,0.4,6.875,-18.6653741871225
0.4,0.4,6.8875,-19.2894646281341
0.4,0.4,6.9,-19.9383426436716
0.4,0.4,6.9125,-20.5898854097882
0.4,0.4,6.925,-21.1947018629113
0.4,0.4,6.9375,-21.6665357506918
0.4,0.4,6.95,-21.8888035776792
0.4,0.4,6.9625,-21.7567506729943
0.4,0.4,6.975,-21.2418610217565
0.4,0.4,6.9875,-20.4147112886291
0.4,0.4,7,-19.3978671493451
0.4,0.4,7.0125,-18.3047652733746
0.4,0.4,7.025,-17.2129891495712
0.4,0.4,7.0375,-16.166519083426
0.4,0.4,7.05,-15.1867141452162
0.4,0.4,7.0625,-14.2818384709999
0.4,0.4,7.075,-13.4531923536378
0.4,0.4,7.0875,-12.698613032536
0.4,0.4,7.1,-12.0143635354419
0.4,0.4,7.1125,-11.396119715058
0.4,0.4,7.125,-10.8394726236765
0.4,0.4,7.1375,-10.3401753350929
0.4,0.4,7.15,-9.89425642693824
0.4,0.4,7.1625,-9.49806433811199
0.4,0.4,7.175,-9.14827588335117
0.4,0.4,7.1875,-8.84188577435046
0.4,0.4,7.2,-8.57618524257312
0.4,0.4,7.2125,-8.34873315930453
0.4,0.4,7.225,-8.15732049896871
0.4,0.4,7.2375,-7.99992761158367
0.4,0.4,7.25,-7.87467309404547
0.4,0.4,7.2625,-7.77975292393871
0.4,0.4,7.275,-7.71336900267424
0.4,0.4,7.2875,-7.67364756609783
0.4,0.4,7.3,-7.65855037724357
0.4,0.4,7.3125,-7.66578551238442
0.4,0.4,7.325,-7.69272990856433
0.4,0.4,7.3375,-7.73638198733491
0.4,0.4,7.35,-7.7933677071258
0.4,0.4,7.3625,-7.86002385123456
0.4,0.4,7.375,-7.93257364467115
0.4,0.4,7.3875,-8.00738827725069
0.4,0.4,7.4,-8.08129466327502
0.4,0.4,7.4125,-8.15185420581739
0.4,0.4,7.425,-8.21751681453638
0.4,0.4,7.4375,-8.27756661553006
0.4,0.4,7.45,-8.33182637790231
0.4,0.4,7.4625,-8.38016291794279
0.4,0.4,7.475,-8.42190815791115
0.4,0.4,7.4875,-8.45535442303998
0.4,0.4,7.5,-8.47748567049414
0.4,0.4,7.5125,-8.48406831737757
0.4,0.4,7.525,-8.47014931244231
0.4,0.4,7.5375,-8.43090072745982
0.4,0.4,7.55,-8.36262957417325
0.4,0.4,7.5625,-8.26368405440141
0.4,0.4,7.575,-8.13498874163365
0.4,0.4,7.5875,-7.98005431134675
0.4,0.4,7.6,-7.80448849717006
