"Freq [GHz]","dB(S(1,1)) []"
4,-1.18680221212916
4.0125,-1.20823135874499
4.025,-1.2300829548098
4.0375,-1.25236673127367
4.05,-1.2750926956196
4.0625,-1.29827113691688
4.075,-1.32191263039354
4.0875,-1.34602804143392
4.1,-1.37062852889191
4.1125,-1.39572554760816
4.125,-1.42133084999387
4.1375,-1.44745648653761
4.15,-1.47411480507238
4.1625,-1.50131844861855
4.175,-1.52908035159969
4.1875,-1.55741373421871
4.2,-1.58633209473032
4.2125,-1.61584919935033
4.225,-1.6459790694959
4.2375,-1.67673596602461
4.25,-1.70813437010837
4.2625,-1.7401889603501
4.275,-1.77291458568882
4.2875,-1.80632623363798
4.3,-1.84043899332134
4.3125,-1.87526801274006
4.325,-1.91082844966827
4.3375,-1.94713541551065
4.35,-1.98420391138505
4.3625,-2.02204875570961
4.375,-2.0606845024116
4.3875,-2.10012534893502
4.4,-2.14038503307447
4.4125,-2.18147671770111
4.425,-2.22341286229329
4.4375,-2.26620508026512
4.45,-2.30986398094422
4.4625,-2.35439899509644
4.475,-2.39981818285008
4.4875,-2.44612802291169
4.5,-2.49333318195122
4.5125,-2.54143626315052
4.525,-2.59043753294549
4.5375,-2.64033462515912
4.55,-2.69112222190161
4.5625,-2.74279171082108
4.575,-2.79533081863015
4.5875,-2.84872322116534
4.6,-2.90294813074019
4.6125,-2.95797986207055
4.625,-3.01378737874278
4.6375,-3.07033382295689
4.65,-3.12757603215799
4.6625,-3.18546404725029
4.675,-3.24394061817693
4.6875,-3.30294071397997
4.7,-3.36239104585569
4.7125,-3.42220961320033
4.725,-3.48230528424691
4.7375,-3.54257742450646
4.75,-3.60291558782635
4.7625,-3.66319928640514
4.775,-3.7232978574496
4.7875,-3.78307044527231
4.8,-3.84236611830703
4.8125,-3.90102414074378
4.825,-3.95887441800528
4.8375,-4.01573813407636
4.85,-4.0714285964889
4.8625,-4.12575230158689
4.875,-4.1785102283313
4.8875,-4.22949936342024
4.9,-4.27851445384655
4.9125,-4.3253499753579
4.925,-4.36980229678158
4.9375,-4.41167201114744
4.95,-4.45076639535594
4.9625,-4.4869019513131
4.975,-4.51990697348519
4.9875,-4.54962408132458
5,-4.57591265051751
5.0125,-4.59865107504893
5.025,-4.61773879293768
5.0375,-4.63309801259817
5.05,-4.64467508384902
5.0625,-4.65244146774465
5.075,-4.65639427189998
5.0875,-4.65655633248982
5.1,-4.65297583951401
5.1125,-4.64572551775128
5.125,-4.63490139072027
5.1375,-4.62062116859803
5.15,-4.60302231220776
5.1625,-4.58225983372482
5.175,-4.55850390023171
5.1875,-4.53193730844607
5.2,-4.50275289828535
5.2125,-4.47115096940056
5.225,-4.43733675915518
5.2375,-4.40151803301342
5.25,-4.36390282979577
5.2625,-4.32469739503589
5.275,-4.28410432646333
5.2875,-4.24232094677762
5.3,-4.19953791074134
5.3125,-4.15593804642802
5.325,-4.11169542437846
5.3375,-4.06697464353515
5.35,-4.0219303190559
5.3625,-3.97670675448803
5.375,-3.93143777911305
5.3875,-3.8862467304779
5.4,-3.84124656210187
5.4125,-3.79654005680058
5.425,-3.75222012709066
5.4375,-3.7083701853766
5.45,-3.66506456813396
5.4625,-3.62236899989538
5.475,-3.5803410845422
5.4875,-3.53903081297427
5.5,-3.49848107789248
5.5125,-3.45872818782534
5.525,-3.41980237398435
5.5375,-3.38172828470617
5.55,-3.3445254633841
5.5625,-3.30820880677097
5.575,-3.27278900136189
5.5875,-3.23827293630518
5.6,-3.20466409191034
5.6125,-3.17196290331603
5.625,-3.14016709931825
5.6375,-3.10927201668981
5.65,-3.07927089058558
5.6625,-3.0501551218467
5.675,-3.02191452215749
5.6875,-2.99453753811878
5.7,-2.96801145538978
5.7125,-2.9423225840616
5.725,-2.91745642647927
5.7375,-2.89339782867414
5.75,-2.87013111661134
5.7625,-2.84764021836414
5.775,-2.82590877332493
5.7875,-2.80492022950244
5.8,-2.78465792989306
5.8125,-2.7651051888693
5.825,-2.74624535947587
5.8375,-2.72806189244752
5.85,-2.71053838772506
5.8625,-2.6936586391829
5.875,-2.6774066732197
5.8875,-2.661766781841
5.9,-2.64672355077423
5.9125,-2.63226188313288
5.925,-2.61836701911783
5.9375,-2.60502455216331
5.95,-2.59222044193225
5.9625,-2.57994102451805
5.975,-2.56817302017253
5.9875,-2.55690353885352
6,-2.54612008386112
6.0125,-2.53581055380562
6.025,-2.5259632431196
6.0375,-2.51656684130543
6.05,-2.50761043111108
6.0625,-2.49908348577392
6.075,-2.4909758654857
6.0875,-2.4832778132031
6.1,-2.47597994991556
6.1125,-2.46907326947905
6.125,-2.46254913309942
6.1375,-2.45639926354951
6.15,-2.45061573919426
6.1625,-2.44519098788729
6.175,-2.44011778078756
6.1875,-2.43538922616586
6.2,-2.43099876322498
6.2125,-2.42694015598745
6.225,-2.42320748727943
6.2375,-2.41979515284645
6.25,-2.41669785562331
6.2625,-2.41391060018335
6.275,-2.41142868739745
6.2875,-2.40924770930605
6.3,-2.407363544236
6.3125,-2.40577235216672
6.325,-2.40447057036633
6.3375,-2.40345490930701
6.35,-2.40272234886521
6.3625,-2.40227013483117
6.375,-2.40209577571694
6.3875,-2.40219703989356
6.4,-2.40257195304245
6.4125,-2.403218795952
6.425,-2.40413610264849
6.4375,-2.4053226588794
6.45,-2.40677750095066
6.4625,-2.40849991493604
6.475,-2.41048943625021
6.4875,-2.41274584961043
6.5,-2.41526918938643
6.5125,-2.41805974035032
6.525,-2.42111803883472
6.5375,-2.42444487431791
6.55,-2.42804129143628
6.5625,-2.43190859244389
6.575,-2.43604834013059
6.5875,-2.44046236121786
6.6,-2.44515275023766
6.6125,-2.45012187392391
6.625,-2.45537237612451
6.6375,-2.46090718326298
6.65,-2.46672951036362
6.6625,-2.47284286766846
6.675,-2.47925106786849
6.6875,-2.48595823397792
6.7,-2.49296880788066
6.7125,-2.50028755957649
6.725,-2.50791959716914
6.7375,-2.51587037762325
6.75,-2.52414571833625
6.7625,-2.53275180956408
6.775,-2.54169522774762
6.7875,-2.55098294978828
6.8,-2.56062236832402
6.8125,-2.57062130806514
6.825,-2.58098804324776
6.8375,-2.59173131627119
6.85,-2.60286035759067
6.8625,-2.61438490693908
6.875,-2.62631523595882
6.8875,-2.63866217233301
