"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.4,180,180,5.6,5.36728742883445
0.6,0.4,180,180,5.6125,5.51896487453016
0.6,0.4,180,180,5.625,5.67414623865291
0.6,0.4,180,180,5.6375,5.83263458301423
0.6,0.4,180,180,5.65,5.99427732185596
0.6,0.4,180,180,5.6625,6.15896314297168
0.6,0.4,180,180,5.675,6.32661377383367
0.6,0.4,180,180,5.6875,6.4971790823536
0.6,0.4,180,180,5.7,6.67063226494943
0.6,0.4,180,180,5.7125,6.84696232891339
0.6,0.4,180,180,5.725,7.02616747315748
0.6,0.4,180,180,5.7375,7.20825501228626
0.6,0.4,180,180,5.75,7.39322536946146
0.6,0.4,180,180,5.7625,7.58106987491464
0.6,0.4,180,180,5.775,7.77176259710295
0.6,0.4,180,180,5.7875,7.96525318004696
0.6,0.4,180,180,5.8,8.16145742277765
0.6,0.4,180,180,5.8125,8.36024952476132
0.6,0.4,180,180,5.825,8.56145443690704
0.6,0.4,180,180,5.8375,8.76483864247341
0.6,0.4,180,180,5.85,8.97010751807187
0.6,0.4,180,180,5.8625,9.1768975697441
0.6,0.4,180,180,5.875,9.38477698020092
0.6,0.4,180,180,5.8875,9.59324809413928
0.6,0.4,180,180,5.9,9.80175362982487
0.6,0.4,180,180,5.9125,10.0096938895663
0.6,0.4,180,180,5.925,10.2164433380314
0.6,0.4,180,180,5.9375,10.421384426036
0.6,0.4,180,180,5.95,10.6239397195315
0.6,0.4,180,180,5.9625,10.8236215412014
0.6,0.4,180,180,5.975,11.0200731952142
0.6,0.4,180,180,5.9875,11.2131264568521
0.6,0.4,180,180,6,11.4028458841041
0.6,0.4,180,180,6.0125,11.5895688924307
0.6,0.4,180,180,6.025,11.7739369066095
0.6,0.4,180,180,6.0375,11.9569035596463
0.6,0.4,180,180,6.05,12.1397313434976
0.6,0.4,180,180,6.0625,12.3239533723828
0.6,0.4,180,180,6.075,12.5113365306176
0.6,0.4,180,180,6.0875,12.7038073952228
0.6,0.4,180,180,6.1,12.903386101943
0.6,0.4,180,180,6.1125,13.1121066177276
0.6,0.4,180,180,6.125,13.3319447358867
0.6,0.4,180,180,6.1375,13.5647516469722
0.6,0.4,180,180,6.15,13.8122136883207
0.6,0.4,180,180,6.1625,14.0758121691009
0.6,0.4,180,180,6.175,14.3568220858105
0.6,0.4,180,180,6.1875,14.6563066841975
0.6,0.4,180,180,6.2,14.975160998424
0.6,0.4,180,180,6.2125,15.3141438515166
0.6,0.4,180,180,6.225,15.6739421702035
0.6,0.4,180,180,6.2375,16.0552505836109
0.6,0.4,180,180,6.25,16.4588493577683
0.6,0.4,180,180,6.2625,16.8857180747146
0.6,0.4,180,180,6.275,17.3371258294702
0.6,0.4,180,180,6.2875,17.8147683186746
0.6,0.4,180,180,6.3,18.3208853304155
0.6,0.4,180,180,6.3125,18.8584169528609
0.6,0.4,180,180,6.325,19.431161043743
0.6,0.4,180,180,6.3375,20.0439961614921
0.6,0.4,180,180,6.35,20.7031492586532
0.6,0.4,180,180,6.3625,21.4165666452555
0.6,0.4,180,180,6.375,22.1944762845496
0.6,0.4,180,180,6.3875,23.0501937066447
0.6,0.4,180,180,6.4,24.0014340470553
0.6,0.4,180,180,6.4125,25.0724398909233
0.6,0.4,180,180,6.425,26.297637842956
0.6,0.4,180,180,6.4375,27.7284177030842
0.6,0.4,180,180,6.45,29.446672009255
0.6,0.4,180,180,6.4625,31.5954632598013
0.6,0.4,180,180,6.475,34.4615004377475
0.6,0.4,180,180,6.4875,38.7714226123556
0.6,0.4,180,180,6.5,47.7018497511105
0.6,0.4,180,180,6.5125,49.7057161918363
0.6,0.4,180,180,6.525,39.4544206254373
0.6,0.4,180,180,6.5375,34.8921330607619
0.6,0.4,180,180,6.55,31.9250698693371
0.6,0.4,180,180,6.5625,29.7251684193603
0.6,0.4,180,180,6.575,27.9778210985725
0.6,0.4,180,180,6.5875,26.52889054226
0.6,0.4,180,180,6.6,25.2908578232407
0.6,0.4,180,180,6.6125,24.208769901545
0.6,0.4,180,180,6.625,23.2453952031633
0.6,0.4,180,180,6.6375,22.3738343912822
0.6,0.4,180,180,6.65,21.5735149443024
0.6,0.4,180,180,6.6625,20.8278585448671
0.6,0.4,180,180,6.675,20.1228583020388
0.6,0.4,180,180,6.6875,19.4462256833106
0.6,0.4,180,180,6.7,18.7869019868528
0.6,0.4,180,180,6.7125,18.1348691852376
0.6,0.4,180,180,6.725,17.4812046626569
0.6,0.4,180,180,6.7375,16.8183096147481
0.6,0.4,180,180,6.75,16.1402742133128
0.6,0.4,180,180,6.7625,15.4432578132151
0.6,0.4,180,180,6.775,14.7257806913333
0.6,0.4,180,180,6.7875,13.9888039933981
0.6,0.4,180,180,6.8,13.235533434646
0.6,0.4,180,180,6.8125,12.4709397608895
0.6,0.4,180,180,6.825,11.7010783637574
0.6,0.4,180,180,6.8375,10.9323788596149
0.6,0.4,180,180,6.85,10.1710230573139
0.6,0.4,180,180,6.8625,9.42259313113384
0.6,0.4,180,180,6.875,8.69205767279101
0.6,0.4,180,180,6.8875,7.98415721310004
0.6,0.4,180,180,6.9,7.30421291874943
0.6,0.4,180,180,6.9125,6.6594289367696
0.6,0.4,180,180,6.925,6.06076564428518
0.6,0.4,180,180,6.9375,5.52543559278022
0.6,0.4,180,180,6.95,5.07968553534945
0.6,0.4,180,180,6.9625,4.76042391951506
