"Freq [GHz]","dB(S(1,1)) []"
4,-5.12388375779762
4.0125,-5.19319759567366
4.025,-5.26523183579208
4.0375,-5.34035088958436
4.05,-5.41893155989815
4.0625,-5.50136271526082
4.075,-5.58804507584148
4.0875,-5.67939111370349
4.1,-5.77582506909211
4.1125,-5.87778308436652
4.125,-5.98571345783841
4.1375,-6.10007702129247
4.15,-6.22134764739481
4.1625,-6.35001289652976
4.175,-6.48657481706058
4.1875,-6.63155091847586
4.2,-6.78547534372378
4.2125,-6.94890027510015
4.225,-7.12239761786352
4.2375,-7.30656101719355
4.25,-7.50200827793938
4.2625,-7.70938427294511
4.275,-7.92936444537205
4.2875,-8.16265903433536
4.3,-8.41001818225428
4.3125,-8.67223811858295
4.325,-8.9501686599855
4.3375,-9.24472232480859
4.35,-9.55688543473036
4.3625,-9.88773167395811
4.375,-10.2384387064175
4.3875,-10.61030862583
4.4,-11.0047932511905
4.4125,-11.4235256083417
4.425,-11.8683593975727
4.4375,-12.3414188997365
4.45,-12.8451627147716
4.4625,-13.3824661099187
4.475,-13.9567288253369
4.4875,-14.5720183522132
4.5,-15.2332636604091
4.5125,-15.9465223398229
4.525,-16.7193573761666
4.5375,-17.5613825721012
4.55,-18.4850764271568
4.5625,-19.5070408912151
4.575,-20.6500335430671
4.5875,-21.9464251385515
4.6,-23.4444820602647
4.6125,-25.2207959772953
4.625,-27.407879558314
4.6375,-30.2665471280297
4.65,-34.4345073234356
4.6625,-42.4217235602849
4.675,-48.9660108778859
4.6875,-36.8365116642571
4.7,-32.0674483374746
4.7125,-29.082116095244
4.725,-26.9246798903057
4.7375,-25.2481523997587
4.75,-23.886835922742
4.7625,-22.7485542023655
4.775,-21.7766951067418
4.7875,-20.9339729337315
4.8,-20.1945168519489
4.8125,-19.5396355406486
4.825,-18.955381372696
4.8375,-18.4310680257485
4.85,-17.9583259906259
4.8625,-17.5304774901038
4.875,-17.1421093229068
4.8875,-16.788772852795
4.9,-16.4667682374252
4.9125,-16.1729859851171
4.925,-15.9047884515618
4.9375,-15.6599197444529
4.95,-15.4364362092669
4.9625,-15.2326520731492
4.975,-15.047096419198
4.9875,-14.878478743366
5,-14.725661091337
5.0125,-14.5876352948147
5.025,-14.4635041987378
5.0375,-14.3524660391703
5.05,-14.2538013277032
5.0625,-14.16686174359
5.075,-14.0910606429807
5.0875,-14.0258648766966
5.1,-13.9707876703375
5.1125,-13.9253823683541
5.125,-13.889236881182
5.1375,-13.8619687030262
5.15,-13.8432203912698
5.1625,-13.8326554161567
5.175,-13.8299543041349
5.1875,-13.8348110099699
5.2,-13.8469294622657
5.2125,-13.8660202353603
5.225,-13.8917973074824
5.2375,-13.9239748712025
5.25,-13.9622641684488
5.2625,-14.0063703278661
5.275,-14.0559891885278
5.2875,-14.1108041007009
5.3,-14.1704827016784
5.3125,-14.2346736736046
5.325,-14.3030035004297
5.3375,-14.3750732532081
5.35,-14.4504554477004
5.3625,-14.5286910348471
5.375,-14.6092866047408
5.3875,-14.691711907152
5.4,-14.7753978166615
5.4125,-14.8597348980125
5.425,-14.9440727550709
