"Freq [GHz]","dB(S(1,1)) []"
5.4375,-15.0277203747845
5.45,-15.109947702084
5.4625,-15.1899886998199
5.475,-15.267046156433
5.4875,-15.3402984965258
5.5,-15.4089088226395
5.5125,-15.4720363635953
5.525,-15.5288504228345
5.5375,-15.5785468068724
5.55,-15.6203665706176
5.5625,-15.6536167491574
5.575,-15.6776925650232
5.5875,-15.6921004229418
5.6,-15.6964808495338
5.6125,-15.6906304262907
5.625,-15.6745217192617
5.6375,-15.6483202425959
5.65,-15.6123976101187
5.6625,-15.5673402217716
5.675,-15.5139530819127
5.6875,-15.4532586243353
5.7,-15.3864906927361
5.7125,-15.3150840616116
5.725,-15.2406600554504
5.7375,-15.165008919326
5.75,-15.0900696069553
5.7625,-15.0179075926424
5.775,-14.9506911973686
5.7875,-14.8906667666801
5.8,-14.8401328679683
5.8125,-14.8014134998258
5.825,-14.7768301286491
5.8375,-14.7686721770531
5.85,-14.7791653590552
5.8625,-14.8104369461589
5.875,-14.8644765991256
5.8875,-14.943090738489
5.9,-15.0478474711335
5.9125,-15.1800077569515
5.925,-15.3404367288476
5.9375,-15.5294868842444
5.95,-15.7468424332394
5.9625,-15.991311981425
5.975,-16.260556244319
5.9875,-16.5507412579614
6,-16.8561202586332
6.0125,-17.1685762540613
6.025,-17.4772106706985
6.0375,-17.7681446035607
6.05,-18.0247911910707
6.0625,-18.228901462447
6.075,-18.3625749752767
6.0875,-18.4110679418977
6.1,-18.3656975249192
6.1125,-18.2257745873864
6.125,-17.9987104421319
6.1375,-17.6982449087768
6.15,-17.3415842389554
6.1625,-16.9465287968872
6.175,-16.5293521021415
6.1875,-16.1036555567819
6.2,-15.6800356194902
6.2125,-15.2662635554591
6.225,-14.8677094892748
6.2375,-14.48783235307
6.25,-14.1286406125435
6.2625,-13.7910848300601
6.275,-13.4753741597244
6.2875,-13.1812230337277
6.3,-12.9080390494423
6.3125,-12.6550633386373
6.325,-12.4214732497607
6.3375,-12.2064553419431
6.35,-12.0092550194774
6.3625,-11.8292077805091
6.375,-11.6657559983677
6.3875,-11.5184543343658
6.4,-11.3869662392172
6.4125,-11.2710535087507
6.425,-11.1705605270375
6.4375,-11.0853947050435
6.45,-11.0155047863029
6.4625,-10.9608592456042
6.475,-10.9214280367877
6.4875,-10.8971724455749
6.5,-10.8880495399577
6.5125,-10.8940390466093
6.525,-10.9152002254573
6.5375,-10.9517628057835
6.55,-11.0042477764819
6.5625,-11.0736007652254
6.575,-11.1613059913834
6.5875,-11.2694391062242
6.6,-11.4006207997555
6.6125,-11.5578541351037
6.625,-11.7442626618257
6.6375,-11.96278070384
6.65,-12.2158681501961
6.6625,-12.5053235943297
6.675,-12.8322555868096
6.6875,-13.1972500435103
6.7,-13.6007472886931
6.7125,-14.0436145914902
6.725,-14.5278687959319
6.7375,-15.0574738221712
6.75,-15.6391203628012
6.7625,-16.2828970779505
6.775,-17.0027686309867
6.7875,-17.8167209410754
6.8,-18.7461451785865
6.8125,-19.8130496049891
6.825,-21.0307349525012
6.8375,-22.3755293811538
6.85,-23.7120920231583
6.8625,-24.6658796566219
6.875,-24.6828749661133
6.8875,-23.6238422315482
6.9,-21.9732941107773
6.9125,-20.2143984069776
6.925,-18.5640856384552
6.9375,-17.0808879727799
6.95,-15.7648680934319
6.9625,-14.5994904355721
6.975,-13.5657516264949
6.9875,-12.6463324988573
7,-11.8264625941082
7.0125,-11.0937835727645
7.025,-10.4379687354091
7.0375,-9.85033747181622
7.05,-9.32352872664543
7.0625,-8.8512403885531
7.075,-8.42802478470313
7.0875,-8.04912743770523
7.1,-7.71035754919143
7.1125,-7.40798111312795
7.125,-7.13863016634975
7.1375,-6.89922430173486
7.15,-6.68690330495901
7.1625,-6.49897270598071
7.175,-6.33286697430157
7.1875,-6.18613734907775
7.2,-6.05647158399985
7.2125,-5.94174956048072
7.225,-5.84013073486263
7.2375,-5.75015778860863
7.25,-5.67084987283344
7.2625,-5.60175488587547
7.275,-5.54293810363401
7.2875,-5.49490299013326
7.3,-5.45846108171896
7.3125,-5.43458123528392
7.325,-5.42424868016723
7.3375,-5.4283533327068
7.35,-5.44761176794042
7.3625,-5.48251484490593
7.375,-5.53328646070976
7.3875,-5.59983803753485
7.4,-5.68170638658221
7.4125,-5.77796807442149
7.425,-5.88713090523816
7.4375,-6.00701302206626
7.45,-6.13463279705007
7.4625,-6.26614722099576
7.475,-6.39688932284128
7.4875,-6.52155903253381
7.5,-6.63460688068937
7.5125,-6.73080781100491
7.525,-6.80595538793908
7.5375,-6.85753582346342
7.55,-6.88520411588638
7.5625,-6.89091482404541
7.575,-6.87865813684667
7.5875,-6.85387509794157
7.6,-6.82271347510228
7.6125,-6.79130155981667
7.625,-6.76516969816456
7.6375,-6.74887656481508
7.65,-6.74583618045765
7.6625,-6.75830983034938
7.675,-6.78752161751374
7.6875,-6.83386341627544
7.7,-6.89715876362947
7.7125,-6.97694671189428
7.725,-7.07273179880433
7.7375,-7.18414770088438
7.75,-7.31102167145607
7.7625,-7.45339318310223
7.775,-7.61158069373382
7.7875,-7.78635771956465
7.8,-7.97920746145942
7.8125,-8.19254092987536
7.825,-8.42974148973683
7.8375,-8.69493827775522
7.85,-8.99246988369591
7.8625,-9.32603356007022
7.875,-9.69750453493994
7.8875,-10.105368723993
7.9,-10.5426909662453
7.9125,-10.9946415670682
7.925,-11.4359986442375
7.9375,-11.8299132872974
7.95,-12.1303842425374
7.9625,-12.2910155741485
7.975,-12.2793826855214
7.9875,-12.0900481334905
8,-11.7469282194787
8.0125,-11.2931454838546
8.025,-10.7761798966143
8.0375,-10.2369918560138
8.05,-9.70579116637501
8.0625,-9.20248853238599
8.075,-8.73908401236407
8.0875,-8.32227294881643
8.1,-7.95558242273383
8.1125,-7.64091525306032
8.125,-7.37958488693433
8.1375,-7.17293998452506
8.15,-7.02260943165321
8.1625,-6.9303242823111
8.175,-6.8972596445013
8.1875,-6.92292287995787
8.2,-7.00376833920934
8.2125,-7.13186310219201
8.225,-7.29400326101839
8.2375,-7.47171195927385
8.25,-7.64257692201382
8.2625,-7.78327608381597
8.275,-7.87409061208113
8.2875,-7.90366295543738
8.3,-7.87193947485387
8.3125,-7.78972128385004
8.325,-7.67504202477926
8.3375,-7.54820433472152
8.35,-7.42744008553256
8.3625,-7.32612369883317
8.375,-7.25141447634845
8.3875,-7.20379281019343
8.4,-7.17712947275893
8.4125,-7.15936028079269
8.425,-7.13419813273565
8.4375,-7.08426421963553
8.45,-6.99532577506504
8.4625,-6.86026098449108
8.475,-6.68089859194735
8.4875,-6.46680774813757
8.5,-6.23186378703992
8.5125,-5.99044532774074
8.525,-5.75474290602545
8.5375,-5.53360245933694
8.55,-5.33254544120343
8.5625,-5.15439034953945
8.575,-5.00003026300548
8.5875,-4.86912874534261
8.6,-4.76065175375296
8.6125,-4.67323586134357
8.625,-4.60542473276055
8.6375,-4.55581079897938
8.65,-4.523113469748
8.6625,-4.50621712004923
8.675,-4.50418477922521
8.6875,-4.51625784778607
8.7,-4.54184821410102
8.7125,-4.5805265138406
8.725,-4.63200865920704
8.7375,-4.69614196617562
8.75,-4.77289212271825
8.7625,-4.86233272954007
8.775,-4.96463980708886
8.7875,-5.08009367286485
8.8,-5.209088902075
8.8125,-5.35214922911407
8.825,-5.5099395031069
8.8375,-5.68326448466206
8.85,-5.87304732326449
8.8625,-6.08028741320819
8.875,-6.30600160769577
8.8875,-6.55114948161761
8.9,-6.81653400161038
8.9125,-7.10265944875519
8.925,-7.40952430628892
8.9375,-7.73633253445363
8.95,-8.0811276032381
8.9625,-8.44039661958049
8.975,-8.80875987709926
8.9875,-9.17893925122541
9,-9.54223454069339
