"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.5,0,0,5.86815778737196,-2.97640810667417
5.5,0,10,5.9625371504337,-2.20787593507981
5.5,0,20,5.63333034202208,-1.84101446113227
5.5,0,30,4.91818002699125,-1.84786500103684
5.5,0,40,3.87547940262004,-2.17348428137014
5.5,0,50,2.57707091519242,-2.74735099236219
5.5,0,60,1.0994669240994,-3.49138503662222
5.5,0,70,-0.486610462281443,-4.32242539524657
5.5,0,80,-2.1281866893723,-5.15041941304876
5.5,0,90,-3.80245219064778,-5.88314038410231
5.5,0,100,-5.52745782386279,-6.45234213036267
5.5,0,110,-7.36840739045623,-6.85606881998549
5.5,0,120,-9.43748796691462,-7.17832503382661
5.5,0,130,-11.8841254019884,-7.5580313146435
5.5,0,140,-14.8608474419191,-8.12977299551062
5.5,0,150,-18.4172723673296,-8.96607159001537
5.5,0,160,-22.3437457387037,-10.0187927800058
5.5,0,170,-26.7556062103901,-11.0735133841375
5.5,0,180,-31.9384099279401,-11.8444817778655
5.5,0,190,-24.9080429999553,-12.2801366744718
5.5,0,200,-18.4128687303806,-12.6598661670241
5.5,0,210,-14.3285269106847,-13.3081846450488
5.5,0,220,-11.6158434279857,-14.3992759461072
5.5,0,230,-9.75681761520263,-15.9335999831992
5.5,0,240,-8.43047242599486,-17.6334599117801
5.5,0,250,-7.40194237898377,-18.6530323462656
5.5,0,260,-6.48751374098873,-18.0682543287643
5.5,0,270,-5.5450308159214,-16.3632294807528
5.5,0,280,-4.47113118695857,-14.508552235112
5.5,0,290,-3.20236883723431,-12.8837172044789
5.5,0,300,-1.72664270825199,-11.4929221049018
5.5,0,310,-0.0993859104489011,-10.1870955571937
5.5,0,320,1.5605685824118,-8.78383558622976
5.5,0,330,3.10531034637757,-7.21488722074072
5.5,0,340,4.39859727030522,-5.59752683123151
5.5,0,350,5.33952017808361,-4.13225555901078
5.5,0,360,5.86815778737196,-2.97640810667417
5.5,90,0,5.86815778737196,-2.97640810667417
5.5,90,10,5.53125465966643,-4.8602735085705
5.5,90,20,4.77784042228352,-7.78240188415025
5.5,90,30,3.62937740792209,-12.3007058583367
5.5,90,40,2.12403363339072,-20.4484612435216
5.5,90,50,0.310264428006896,-30.2197320266709
5.5,90,60,-1.76402437909952,-18.9846519767274
5.5,90,70,-4.06691699749551,-15.5494746884727
5.5,90,80,-6.59908381928468,-14.032343730717
5.5,90,90,-9.39995242294185,-13.26721816596
5.5,90,100,-12.5015806318354,-12.7488826759489
5.5,90,110,-15.6639403726344,-12.2346022001097
5.5,90,120,-17.7327366010518,-11.6865935854005
5.5,90,130,-17.7114718334725,-11.2068140927288
5.5,90,140,-17.0072861021314,-10.9335299233335
5.5,90,150,-17.004498944458,-10.9589609562562
5.5,90,160,-18.3614524000475,-11.270779398527
5.5,90,170,-22.1132216825636,-11.6854422290533
5.5,90,180,-31.9384099279401,-11.8444817778655
5.5,90,190,-22.9700461406614,-11.4922860922944
5.5,90,200,-16.1870034477005,-10.7942936723756
5.5,90,210,-12.3779305983143,-10.1015524330396
5.5,90,220,-9.90547833376834,-9.60086293376412
5.5,90,230,-8.19095411199112,-9.28148387428791
5.5,90,240,-6.91231229009695,-9.0267487527713
5.5,90,250,-5.83579471020482,-8.69359834160211
5.5,90,260,-4.78243826708552,-8.16726744805496
5.5,90,270,-3.6347960674555,-7.39450927893345
5.5,90,280,-2.34541608709107,-6.39381589607216
5.5,90,290,-0.930126676796356,-5.24401276075628
5.5,90,300,0.550041560755955,-4.06028173793116
5.5,90,310,2.00808912065478,-2.97006149364556
5.5,90,320,3.34732576986023,-2.09720609636494
5.5,90,330,4.47441039856335,-1.55594639136452
5.5,90,340,5.30860449104144,-1.45202552088531
5.5,90,350,5.78719131378842,-1.88840834606368
5.5,90,360,5.86815778737196,-2.97640810667417
