"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
90.0000000000002,90.0000000000002,4,21.43293279547
90.0000000000002,90.0000000000002,4.0125,21.1000746052071
90.0000000000002,90.0000000000002,4.025,20.775719918362
90.0000000000002,90.0000000000002,4.0375,20.4594833005016
90.0000000000002,90.0000000000002,4.05,20.1510111700466
90.0000000000002,90.0000000000002,4.0625,19.8499781281613
90.0000000000002,90.0000000000002,4.075,19.5560850417257
90.0000000000002,90.0000000000002,4.0875,19.2690558656761
90.0000000000002,90.0000000000002,4.1,18.9886358030565
90.0000000000002,90.0000000000002,4.1125,18.7145891732967
90.0000000000002,90.0000000000002,4.125,18.4466990290602
90.0000000000002,90.0000000000002,4.1375,18.1847642002684
90.0000000000002,90.0000000000002,4.15,17.9285987983657
90.0000000000002,90.0000000000002,4.1625,17.6780310314755
90.0000000000002,90.0000000000002,4.175,17.4329027648064
90.0000000000002,90.0000000000002,4.1875,17.1930668543213
90.0000000000002,90.0000000000002,4.2,16.9583887615761
90.0000000000002,90.0000000000002,4.2125,16.7287440630204
90.0000000000002,90.0000000000002,4.225,16.5040195149142
90.0000000000002,90.0000000000002,4.2375,16.2841097031645
90.0000000000002,90.0000000000002,4.25,16.0689199215645
90.0000000000002,90.0000000000002,4.2625,15.8583637720943
90.0000000000002,90.0000000000002,4.275,15.652363177431
90.0000000000002,90.0000000000002,4.2875,15.4508486697603
90.0000000000002,90.0000000000002,4.3,15.2537577026988
90.0000000000002,90.0000000000002,4.3125,15.0610361526014
90.0000000000002,90.0000000000002,4.325,14.8726352939679
90.0000000000002,90.0000000000002,4.3375,14.6885182066632
90.0000000000002,90.0000000000002,4.35,14.5086509958942
90.0000000000002,90.0000000000002,4.3625,14.3330074977422
90.0000000000002,90.0000000000002,4.375,14.1615690623218
90.0000000000002,90.0000000000002,4.3875,13.9943240609236
90.0000000000002,90.0000000000002,4.4,13.8312665037447
90.0000000000002,90.0000000000002,4.4125,13.6723986136916
