"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
180,180,5.1875,1.92088626829414
180,180,5.2,1.69123343817912
180,180,5.2125,1.46841814881121
180,180,5.225,1.2526225682183
180,180,5.2375,1.04406720896218
180,180,5.25,0.843064633282856
180,180,5.2625,0.65015835377577
180,180,5.275,0.466554806593935
180,180,5.2875,0.295982899868827
180,180,5.3,0.157052570959803
180,180,5.3125,0.145804222452663
180,180,5.325,0.264695756048535
180,180,5.3375,0.405035369317299
180,180,5.35,0.544537246265813
180,180,5.3625,0.679044674536095
180,180,5.375,0.807338038812879
180,180,5.3875,0.928970404748441
180,180,5.4,1.04377387338286
180,180,5.4125,1.15171141257473
180,180,5.425,1.25282227973142
180,180,5.4375,1.34719734893858
180,180,5.45,1.43497141935744
180,180,5.4625,1.51631825995877
180,180,5.475,1.59145182215232
180,180,5.4875,1.66062467470312
180,180,5.5,1.72413240321713
180,180,5.5125,1.78231553251627
180,180,5.525,1.83556231852261
180,180,5.5375,1.88431344539706
180,180,5.55,1.92906620373617
180,180,5.5625,1.97037565689968
180,180,5.575,2.00886145436906
180,180,5.5875,2.04520817767523
180,180,5.6,2.08016792899194
180,180,5.6125,2.11456115986428
180,180,5.625,2.14927415512317
180,180,5.6375,2.18525600683337
180,180,5.65,2.22350836043825
180,180,5.6625,2.26507828012822
180,180,5.675,2.31104060904531
180,180,5.6875,2.36248027199283
180,180,5.7,2.42047170636397
180,180,5.7125,2.48605620517352
180,180,5.725,2.56021715719774
180,180,5.7375,2.64385773388668
180,180,5.75,2.73778067574523
180,180,5.7625,2.84267091481834
180,180,5.775,2.95908056741417
180,180,5.7875,3.087422728713
180,180,5.8,3.22796060796998
180,180,5.8125,3.3808066077708
180,180,5.825,3.54591850378875
180,180,5.8375,3.72309969801925
180,180,5.85,3.91199900716238
180,180,5.8625,4.1121151050466
180,180,5.875,4.32280379220943
180,180,5.8875,4.54328633075246
180,180,5.9,4.77267313956088
180,180,5.9125,5.00998523486013
180,180,5.925,5.25418710419069
180,180,5.9375,5.5042284774374
180,180,5.95,5.75908655987576
180,180,5.9625,6.0178098404723
180,180,5.975,6.27956592906512
180,180,5.9875,6.54367434584733
180,180,6,6.80964451235597
180,180,6.0125,7.0771866937977
180,180,6.025,7.34622758243404
180,180,6.0375,7.61689927670483
180,180,6.05,7.8895276507057
180,180,6.0625,8.16460614241002
180,180,6.075,8.4427612879252
180,180,6.0875,8.72471663969219
180,180,6.1,9.01124992082474
180,180,6.1125,9.30315162249886
180,180,6.125,9.60118970949164
180,180,6.1375,9.90607261503351
180,180,6.15,10.218423990114
180,180,6.1625,10.53876365078
180,180,6.175,10.8674973040479
180,180,6.1875,11.2049161156659
180,180,6.2,11.5512041640411
180,180,6.2125,11.906449234705
180,180,6.225,12.2706616126877
180,180,6.2375,12.6437986982707
180,180,6.25,13.0257800001882
180,180,6.2625,13.4165079031199
180,180,6.275,13.815884207505
180,180,6.2875,14.2238200511238
180,180,6.3,14.6402497133707
180,180,6.3125,15.0651338185935
180,180,6.325,15.4984706159795
180,180,6.3375,15.9402977368703
180,180,6.35,16.3907169057818
180,180,6.3625,16.8499064438545
180,180,6.375,17.3181621090612
180,180,6.3875,17.7959504120603
180,180,6.4,18.2839839845428
180,180,6.4125,18.7833357097647
180,180,6.425,19.2955898429256
180,180,6.4375,19.8230445382234
180,180,6.45,20.3689787402398
180,180,6.4625,20.9379845627388
180,180,6.475,21.5363768110322
180,180,6.4875,22.172674122548
180,180,6.5,22.8581711242381
180,180,6.5125,23.6076002830915
180,180,6.525,24.4399031398149
180,180,6.5375,25.3793329062634
180,180,6.55,26.4571124186596
180,180,6.5625,27.7145700838002
180,180,6.575,29.2094488874687
180,180,6.5875,31.0299086189084
180,180,6.6,33.3284373501198
180,180,6.6125,36.4180844994775
180,180,6.625,41.1403781712999
180,180,6.6375,51.8368579189298
180,180,6.65,48.9709239374451
180,180,6.6625,40.2989530300562
180,180,6.675,36.0011497351642
180,180,6.6875,33.0614018930429
180,180,6.7,30.7768182898002
180,180,6.7125,28.8754087924623
180,180,6.725,27.2290847195575
180,180,6.7375,25.7713456186358
180,180,6.75,24.4652825914535
180,180,6.7625,23.2888441715838
180,180,6.775,22.2274703777992
180,180,6.7875,21.2703683485186
180,180,6.8,20.408755812472
180,180,6.8125,19.6351550696434
180,180,6.825,18.9432646588998
180,180,6.8375,18.3281042614384
180,180,6.85,17.7863200649801
180,180,6.8625,17.3165657812987
180,180,6.875,16.9199709209619
180,180,6.8875,16.6006796867659
180,180,6.9,16.3665016018765
180,180,6.9125,16.229663113179
180,180,6.925,16.2076521714259
180,180,6.9375,16.3241493745931
180,180,6.95,16.6100483558409
180,180,6.9625,17.1047319170129
180,180,6.975,17.8581453075741
180,180,6.9875,18.9352142538677
180,180,7,20.4264242817869
180,180,7.0125,22.4747649302798
180,180,7.025,25.3519612372429
180,180,7.0375,29.7317375807039
180,180,7.05,38.4442458239995
180,180,7.0625,42.7492248118622
180,180,7.075,32.1277097887778
180,180,7.0875,27.8882782022722
180,180,7.1,25.3367138876994
180,180,7.1125,23.5758848175184
180,180,7.125,22.2697497254622
180,180,7.1375,21.2602181796606
180,180,7.15,20.4683373625695
180,180,7.1625,19.8597142985362
180,180,7.175,19.4306406288957
180,180,7.1875,19.2030147004963
180,180,7.2,19.2245371261106
180,180,7.2125,19.5744767008287
180,180,7.225,20.3799647303789
180,180,7.2375,21.8607516328809
180,180,7.25,24.4741373653011
180,180,7.2625,29.5931160414988
180,180,7.275,54.7022972848049
180,180,7.2875,29.6851267323142
180,180,7.3,23.1939425760505
180,180,7.3125,19.4885173905386
180,180,7.325,16.9447037977865
180,180,7.3375,15.0541417360036
180,180,7.35,13.5830436299256
