"cutx2 [mm]","cuty1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.6,0.6,4,-4.73394202565644
0.6,0.6,4.0125,-4.79160691236276
0.6,0.6,4.025,-4.85048855462042
0.6,0.6,4.0375,-4.91085328433218
0.6,0.6,4.05,-4.9729791042886
0.6,0.6,4.0625,-5.03715503136391
0.6,0.6,4.075,-5.10368050505327
0.6,0.6,4.0875,-5.17286487069338
0.6,0.6,4.1,-5.24502694439646
0.6,0.6,4.1125,-5.32049466464589
0.6,0.6,4.125,-5.3996048336423
0.6,0.6,4.1375,-5.48270295013097
0.6,0.6,4.15,-5.57014313439749
0.6,0.6,4.1625,-5.66228814560764
0.6,0.6,4.175,-5.75950949157495
0.6,0.6,4.1875,-5.86218763157248
0.6,0.6,4.2,-5.9707122736871
0.6,0.6,4.2125,-6.085482769866
0.6,0.6,4.225,-6.20690861372959
0.6,0.6,4.2375,-6.33541004908565
0.6,0.6,4.25,-6.4714188001376
0.6,0.6,4.2625,-6.6153789383983
0.6,0.6,4.275,-6.76774790590636
0.6,0.6,4.2875,-6.92899771963257
0.6,0.6,4.3,-7.09961638806892
0.6,0.6,4.3125,-7.28010957831398
0.6,0.6,4.325,-7.47100257986128
0.6,0.6,4.3375,-7.67284262104542
0.6,0.6,4.35,-7.88620160498355
0.6,0.6,4.3625,-8.11167934468544
0.6,0.6,4.375,-8.34990739243596
0.6,0.6,4.3875,-8.60155357619822
0.6,0.6,4.4,-8.8673273778474
0.6,0.6,4.4125,-9.1479863137074
0.6,0.6,4.425,-9.44434350990255
0.6,0.6,4.4375,-9.75727670365298
0.6,0.6,4.45,-10.0877389491084
0.6,0.6,4.4625,-10.4367713649982
0.6,0.6,4.475,-10.8055183325086
0.6,0.6,4.4875,-11.1952456388399
0.6,0.6,4.5,-11.6073621658268
0.6,0.6,4.5125,-12.0434458436888
0.6,0.6,4.525,-12.5052747229042
0.6,0.6,4.5375,-12.9948641480033
0.6,0.6,4.55,-13.5145111097203
0.6,0.6,4.5625,-14.06684682857
0.6,0.6,4.575,-14.6548983154861
0.6,0.6,4.5875,-15.2821587140389
0.6,0.6,4.6,-15.9526639229047
0.6,0.6,4.6125,-16.6710677967527
0.6,0.6,4.625,-17.4426968949228
0.6,0.6,4.6375,-18.2735413828919
0.6,0.6,4.65,-19.1700864104683
0.6,0.6,4.6625,-20.1387760409422
0.6,0.6,4.675,-21.184662121608
0.6,0.6,4.6875,-22.3082927437112
0.6,0.6,4.7,-23.498950610469
0.6,0.6,4.7125,-24.721032011355
0.6,0.6,4.725,-25.8907583636837
0.6,0.6,4.7375,-26.8516840014801
0.6,0.6,4.75,-27.3928205339768
0.6,0.6,4.7625,-27.3655105920379
0.6,0.6,4.775,-26.8139251968543
0.6,0.6,4.7875,-25.9325752760152
0.6,0.6,4.8,-24.9172327576188
0.6,0.6,4.8125,-23.8916962033838
0.6,0.6,4.825,-22.9158372064271
0.6,0.6,4.8375,-22.0123046109185
0.6,0.6,4.85,-21.1856873442572
0.6,0.6,4.8625,-20.4327852778707
0.6,0.6,4.875,-19.7475209817388
0.6,0.6,4.8875,-19.12314723777
0.6,0.6,4.9,-18.5531773282124
0.6,0.6,4.9125,-18.0317306525034
0.6,0.6,4.925,-17.5536181742747
0.6,0.6,4.9375,-17.1143177990139
0.6,0.6,4.95,-16.7099084186744
0.6,0.6,4.9625,-16.336993459781
0.6,0.6,4.975,-15.9926271126133
0.6,0.6,4.9875,-15.674248237712
0.6,0.6,5,-15.3796232322102
0.6,0.6,5.0125,-15.1067975352301
0.6,0.6,5.025,-14.8540548392568
0.6,0.6,5.0375,-14.6198829178006
0.6,0.6,5.05,-14.4029450200885
0.6,0.6,5.0625,-14.2020559011477
0.6,0.6,5.075,-14.016161691805
0.6,0.6,5.0875,-13.844322943933
0.6,0.6,5.1,-13.685700302215
0.6,0.6,5.1125,-13.5395423522374
0.6,0.6,5.125,-13.4051752759504
0.6,0.6,5.1375,-13.2819940131154
0.6,0.6,5.15,-13.1694546813553
0.6,0.6,5.1625,-13.0670680518189
0.6,0.6,5.175,-12.9743939133866
0.6,0.6,5.1875,-12.8910361871324
0.6,0.6,5.2,-12.8166386762946
0.6,0.6,5.2125,-12.7508813561609
0.6,0.6,5.225,-12.6934771235959
0.6,0.6,5.2375,-12.644168938594
0.6,0.6,5.25,-12.6027273003721
0.6,0.6,5.2625,-12.5689480087865
0.6,0.6,5.275,-12.542650168559
0.6,0.6,5.2875,-12.5236743989072
0.6,0.6,5.3,-12.5118812156753
0.6,0.6,5.3125,-12.5071495558334
0.6,0.6,5.325,-12.5093754168853
0.6,0.6,5.3375,-12.5184705848656
0.6,0.6,5.35,-12.5343614258588
0.6,0.6,5.3625,-12.5569877153558
0.6,0.6,5.375,-12.5863014798447
0.6,0.6,5.3875,-12.6222658228733
0.6,0.6,5.4,-12.6648537062228
0.6,0.6,5.4125,-12.7140466533493
0.6,0.6,5.425,-12.7698333385634
0.6,0.6,5.4375,-12.8322080202354
0.6,0.6,5.45,-12.9011687703559
0.6,0.6,5.4625,-12.9767154453891
0.6,0.6,5.475,-13.058847334946
0.6,0.6,5.4875,-13.1475604147721
0.6,0.6,5.5,-13.2428441195882
0.6,0.6,5.5125,-13.3446775390096
0.6,0.6,5.525,-13.4530249270157
0.6,0.6,5.5375,-13.5678304025706
0.6,0.6,5.55,-13.6890117073006
0.6,0.6,5.5625,-13.8164528776162
0.6,0.6,5.575,-13.9499956860459
0.6,0.6,5.5875,-14.0894297137053
0.6,0.6,5.6,-14.2344809391834
0.6,0.6,5.6125,-14.3847987757773
0.6,0.6,5.625,-14.5399415701747
0.6,0.6,5.6375,-14.6993607042133
0.6,0.6,5.65,-14.8623836322044
0.6,0.6,5.6625,-15.0281964567933
0.6,0.6,5.675,-15.1958270102004
0.6,0.6,5.6875,-15.3641298727821
0.6,0.6,5.7,-15.5317753180177
0.6,0.6,5.7125,-15.6972447873584
0.6,0.6,5.725,-15.8588360900102
0.6,0.6,5.7375,-16.0146819591598
0.6,0.6,5.75,-16.1627856815989
0.6,0.6,5.7625,-16.3010770104081
0.6,0.6,5.775,-16.4274902291953
0.6,0.6,5.7875,-16.5400639049582
0.6,0.6,5.8,-16.6370585956956
0.6,0.6,5.8125,-16.717084938827
0.6,0.6,5.825,-16.779230868165
0.6,0.6,5.8375,-16.8231741837735
0.6,0.6,5.85,-16.8492663066041
0.6,0.6,5.8625,-16.8585753608852
0.6,0.6,5.875,-16.8528815822277
0.6,0.6,5.8875,-16.8346244713842
0.6,0.6,5.9,-16.8068075852216
0.6,0.6,5.9125,-16.7728718379525
0.6,0.6,5.925,-16.7365506535004
0.6,0.6,5.9375,-16.701720039309
0.6,0.6,5.95,-16.6722541612482
0.6,0.6,5.9625,-16.6518932209474
0.6,0.6,5.975,-16.6441263381932
0.6,0.6,5.9875,-16.6520884347391
0.6,0.6,6,-16.6784671675548
0.6,0.6,6.0125,-16.7254138304004
0.6,0.6,6.025,-16.7944507424312
0.6,0.6,6.0375,-16.8863668909528
0.6,0.6,6.05,-17.0010936010192
0.6,0.6,6.0625,-17.1375532314406
0.6,0.6,6.075,-17.2934773455749
0.6,0.6,6.0875,-17.4651981477239
0.6,0.6,6.1,-17.6474304961974
0.6,0.6,6.1125,-17.8330837402425
0.6,0.6,6.125,-18.0131732588707
0.6,0.6,6.1375,-18.1769353857858
0.6,0.6,6.15,-18.3122699570275
0.6,0.6,6.1625,-18.4066125779227
0.6,0.6,6.175,-18.4482417642913
