"cutx2 [mm]","cuty1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.4,0.6,4,-5.12388375779762
0.4,0.6,4.0125,-5.19319759567366
0.4,0.6,4.025,-5.26523183579208
0.4,0.6,4.0375,-5.34035088958436
0.4,0.6,4.05,-5.41893155989815
0.4,0.6,4.0625,-5.50136271526082
0.4,0.6,4.075,-5.58804507584148
0.4,0.6,4.0875,-5.67939111370349
0.4,0.6,4.1,-5.77582506909211
0.4,0.6,4.1125,-5.87778308436652
0.4,0.6,4.125,-5.98571345783841
0.4,0.6,4.1375,-6.10007702129247
0.4,0.6,4.15,-6.22134764739481
0.4,0.6,4.1625,-6.35001289652976
0.4,0.6,4.175,-6.48657481706058
0.4,0.6,4.1875,-6.63155091847586
0.4,0.6,4.2,-6.78547534372378
0.4,0.6,4.2125,-6.94890027510015
0.4,0.6,4.225,-7.12239761786352
0.4,0.6,4.2375,-7.30656101719355
0.4,0.6,4.25,-7.50200827793938
0.4,0.6,4.2625,-7.70938427294511
0.4,0.6,4.275,-7.92936444537205
0.4,0.6,4.2875,-8.16265903433536
0.4,0.6,4.3,-8.41001818225428
0.4,0.6,4.3125,-8.67223811858295
0.4,0.6,4.325,-8.9501686599855
0.4,0.6,4.3375,-9.24472232480859
0.4,0.6,4.35,-9.55688543473036
0.4,0.6,4.3625,-9.88773167395811
0.4,0.6,4.375,-10.2384387064175
0.4,0.6,4.3875,-10.61030862583
0.4,0.6,4.4,-11.0047932511905
0.4,0.6,4.4125,-11.4235256083417
0.4,0.6,4.425,-11.8683593975727
0.4,0.6,4.4375,-12.3414188997365
0.4,0.6,4.45,-12.8451627147716
0.4,0.6,4.4625,-13.3824661099187
0.4,0.6,4.475,-13.9567288253369
0.4,0.6,4.4875,-14.5720183522132
0.4,0.6,4.5,-15.2332636604091
0.4,0.6,4.5125,-15.9465223398229
0.4,0.6,4.525,-16.7193573761666
0.4,0.6,4.5375,-17.5613825721012
0.4,0.6,4.55,-18.4850764271568
0.4,0.6,4.5625,-19.5070408912151
0.4,0.6,4.575,-20.6500335430671
0.4,0.6,4.5875,-21.9464251385515
0.4,0.6,4.6,-23.4444820602647
0.4,0.6,4.6125,-25.2207959772953
0.4,0.6,4.625,-27.407879558314
0.4,0.6,4.6375,-30.2665471280297
0.4,0.6,4.65,-34.4345073234356
0.4,0.6,4.6625,-42.4217235602849
0.4,0.6,4.675,-48.9660108778859
0.4,0.6,4.6875,-36.8365116642571
0.4,0.6,4.7,-32.0674483374746
0.4,0.6,4.7125,-29.082116095244
0.4,0.6,4.725,-26.9246798903057
0.4,0.6,4.7375,-25.2481523997587
0.4,0.6,4.75,-23.886835922742
0.4,0.6,4.7625,-22.7485542023655
0.4,0.6,4.775,-21.7766951067418
0.4,0.6,4.7875,-20.9339729337315
0.4,0.6,4.8,-20.1945168519489
0.4,0.6,4.8125,-19.5396355406486
0.4,0.6,4.825,-18.955381372696
0.4,0.6,4.8375,-18.4310680257485
0.4,0.6,4.85,-17.9583259906259
0.4,0.6,4.8625,-17.5304774901038
0.4,0.6,4.875,-17.1421093229068
0.4,0.6,4.8875,-16.788772852795
0.4,0.6,4.9,-16.4667682374252
0.4,0.6,4.9125,-16.1729859851171
0.4,0.6,4.925,-15.9047884515618
0.4,0.6,4.9375,-15.6599197444529
0.4,0.6,4.95,-15.4364362092669
0.4,0.6,4.9625,-15.2326520731492
0.4,0.6,4.975,-15.047096419198
0.4,0.6,4.9875,-14.878478743366
0.4,0.6,5,-14.725661091337
0.4,0.6,5.0125,-14.5876352948147
0.4,0.6,5.025,-14.4635041987378
0.4,0.6,5.0375,-14.3524660391703
0.4,0.6,5.05,-14.2538013277032
0.4,0.6,5.0625,-14.16686174359
0.4,0.6,5.075,-14.0910606429807
0.4,0.6,5.0875,-14.0258648766966
0.4,0.6,5.1,-13.9707876703375
0.4,0.6,5.1125,-13.9253823683541
0.4,0.6,5.125,-13.889236881182
0.4,0.6,5.1375,-13.8619687030262
0.4,0.6,5.15,-13.8432203912698
0.4,0.6,5.1625,-13.8326554161567
0.4,0.6,5.175,-13.8299543041349
0.4,0.6,5.1875,-13.8348110099699
0.4,0.6,5.2,-13.8469294622657
0.4,0.6,5.2125,-13.8660202353603
0.4,0.6,5.225,-13.8917973074824
0.4,0.6,5.2375,-13.9239748712025
0.4,0.6,5.25,-13.9622641684488
0.4,0.6,5.2625,-14.0063703278661
0.4,0.6,5.275,-14.0559891885278
0.4,0.6,5.2875,-14.1108041007009
0.4,0.6,5.3,-14.1704827016784
0.4,0.6,5.3125,-14.2346736736046
0.4,0.6,5.325,-14.3030035004297
0.4,0.6,5.3375,-14.3750732532081
0.4,0.6,5.35,-14.4504554477004
0.4,0.6,5.3625,-14.5286910348471
0.4,0.6,5.375,-14.6092866047408
0.4,0.6,5.3875,-14.691711907152
0.4,0.6,5.4,-14.7753978166615
0.4,0.6,5.4125,-14.8597348980125
0.4,0.6,5.425,-14.9440727550709
0.4,0.6,5.4375,-15.0277203747845
0.4,0.6,5.45,-15.109947702084
0.4,0.6,5.4625,-15.1899886998199
0.4,0.6,5.475,-15.267046156433
0.4,0.6,5.4875,-15.3402984965258
0.4,0.6,5.5,-15.4089088226403
0.4,0.6,5.5125,-15.4720363635953
0.4,0.6,5.525,-15.5288504228345
0.4,0.6,5.5375,-15.5785468068724
0.4,0.6,5.55,-15.6203665706176
0.4,0.6,5.5625,-15.6536167491574
0.4,0.6,5.575,-15.6776925650232
0.4,0.6,5.5875,-15.6921004229418
0.4,0.6,5.6,-15.6964808495338
0.4,0.6,5.6125,-15.6906304262907
0.4,0.6,5.625,-15.6745217192617
0.4,0.6,5.6375,-15.6483202425959
0.4,0.6,5.65,-15.6123976101187
0.4,0.6,5.6625,-15.5673402217716
0.4,0.6,5.675,-15.5139530819127
0.4,0.6,5.6875,-15.4532586243353
0.4,0.6,5.7,-15.3864906927361
0.4,0.6,5.7125,-15.3150840616116
0.4,0.6,5.725,-15.2406600554504
0.4,0.6,5.7375,-15.165008919326
0.4,0.6,5.75,-15.0900696069553
0.4,0.6,5.7625,-15.0179075926424
0.4,0.6,5.775,-14.9506911973686
0.4,0.6,5.7875,-14.8906667666801
0.4,0.6,5.8,-14.8401328679683
0.4,0.6,5.8125,-14.8014134998258
0.4,0.6,5.825,-14.7768301286491
0.4,0.6,5.8375,-14.7686721770531
0.4,0.6,5.85,-14.7791653590552
0.4,0.6,5.8625,-14.8104369461589
0.4,0.6,5.875,-14.8644765991256
0.4,0.6,5.8875,-14.943090738489
0.4,0.6,5.9,-15.0478474711335
0.4,0.6,5.9125,-15.1800077569515
0.4,0.6,5.925,-15.3404367288476
0.4,0.6,5.9375,-15.5294868842444
0.4,0.6,5.95,-15.7468424332394
0.4,0.6,5.9625,-15.991311981425
0.4,0.6,5.975,-16.260556244319
0.4,0.6,5.9875,-16.5507412579614
0.4,0.6,6,-16.8561202586332
0.4,0.6,6.0125,-17.1685762540613
0.4,0.6,6.025,-17.4772106706985
0.4,0.6,6.0375,-17.7681446035607
0.4,0.6,6.05,-18.0247911910707
0.4,0.6,6.0625,-18.228901462447
0.4,0.6,6.075,-18.3625749752767
0.4,0.6,6.0875,-18.4110679418977
0.4,0.6,6.1,-18.3656975249192
0.4,0.6,6.1125,-18.2257745873864
0.4,0.6,6.125,-17.9987104421319
0.4,0.6,6.1375,-17.6982449087768
0.4,0.6,6.15,-17.3415842389554
0.4,0.6,6.1625,-16.9465287968872
0.4,0.6,6.175,-16.5293521021415
0.4,0.6,6.1875,-16.1036555567819
0.4,0.6,6.2,-15.6800356194902
0.4,0.6,6.2125,-15.2662635554591
0.4,0.6,6.225,-14.8677094892748
0.4,0.6,6.2375,-14.48783235307
0.4,0.6,6.25,-14.1286406125435
0.4,0.6,6.2625,-13.7910848300601
0.4,0.6,6.275,-13.4753741597244
0.4,0.6,6.2875,-13.1812230337277
0.4,0.6,6.3,-12.9080390494423
0.4,0.6,6.3125,-12.6550633386373
0.4,0.6,6.325,-12.4214732497607
0.4,0.6,6.3375,-12.2064553419431
0.4,0.6,6.35,-12.0092550194774
0.4,0.6,6.3625,-11.8292077805091
0.4,0.6,6.375,-11.6657559983677
0.4,0.6,6.3875,-11.5184543343658
0.4,0.6,6.4,-11.3869662392172
0.4,0.6,6.4125,-11.2710535087507
0.4,0.6,6.425,-11.1705605270375
0.4,0.6,6.4375,-11.0853947050435
0.4,0.6,6.45,-11.0155047863029
0.4,0.6,6.4625,-10.9608592456042
0.4,0.6,6.475,-10.9214280367877
0.4,0.6,6.4875,-10.8971724455749
0.4,0.6,6.5,-10.8880495399577
0.4,0.6,6.5125,-10.8940390466093
0.4,0.6,6.525,-10.9152002254573
0.4,0.6,6.5375,-10.9517628057835
0.4,0.6,6.55,-11.0042477764819
0.4,0.6,6.5625,-11.0736007652254
0.4,0.6,6.575,-11.1613059913834
0.4,0.6,6.5875,-11.2694391062242
0.4,0.6,6.6,-11.4006207997555
0.4,0.6,6.6125,-11.5578541351037
0.4,0.6,6.625,-11.7442626618257
0.4,0.6,6.6375,-11.96278070384
0.4,0.6,6.65,-12.2158681501961
0.4,0.6,6.6625,-12.5053235943297
0.4,0.6,6.675,-12.8322555868096
0.4,0.6,6.6875,-13.1972500435103
0.4,0.6,6.7,-13.6007472886931
0.4,0.6,6.7125,-14.0436145914902
0.4,0.6,6.725,-14.5278687959319
0.4,0.6,6.7375,-15.0574738221712
0.4,0.6,6.75,-15.6391203628012
0.4,0.6,6.7625,-16.2828970779505
0.4,0.6,6.775,-17.0027686309867
0.4,0.6,6.7875,-17.8167209410754
0.4,0.6,6.8,-18.7461451785865
0.4,0.6,6.8125,-19.8130496049891
0.4,0.6,6.825,-21.0307349525012
0.4,0.6,6.8375,-22.3755293811538
0.4,0.6,6.85,-23.7120920231583
0.4,0.6,6.8625,-24.6658796566219
0.4,0.6,6.875,-24.6828749661133
0.4,0.6,6.8875,-23.6238422315482
0.4,0.6,6.9,-21.9732941107773
0.4,0.6,6.9125,-20.2143984069776
0.4,0.6,6.925,-18.5640856384552
0.4,0.6,6.9375,-17.0808879727799
0.4,0.6,6.95,-15.7648680934319
0.4,0.6,6.9625,-14.5994904355721
0.4,0.6,6.975,-13.5657516264949
0.4,0.6,6.9875,-12.6463324988573
0.4,0.6,7,-11.8264625941082
0.4,0.6,7.0125,-11.0937835727645
0.4,0.6,7.025,-10.4379687354091
0.4,0.6,7.0375,-9.85033747181622
0.4,0.6,7.05,-9.32352872664543
0.4,0.6,7.0625,-8.8512403885531
0.4,0.6,7.075,-8.42802478470313
0.4,0.6,7.0875,-8.04912743770523
0.4,0.6,7.1,-7.71035754919143
0.4,0.6,7.1125,-7.40798111312795
0.4,0.6,7.125,-7.13863016634975
0.4,0.6,7.1375,-6.89922430173486
0.4,0.6,7.15,-6.68690330495901
0.4,0.6,7.1625,-6.49897270598071
0.4,0.6,7.175,-6.33286697430157
0.4,0.6,7.1875,-6.18613734907775
0.4,0.6,7.2,-6.05647158399985
0.4,0.6,7.2125,-5.94174956048072
0.4,0.6,7.225,-5.84013073486263
0.4,0.6,7.2375,-5.75015778860863
0.4,0.6,7.25,-5.67084987283344
0.4,0.6,7.2625,-5.60175488587547
0.4,0.6,7.275,-5.54293810363401
0.4,0.6,7.2875,-5.49490299013326
0.4,0.6,7.3,-5.45846108171896
0.4,0.6,7.3125,-5.43458123528392
0.4,0.6,7.325,-5.42424868016723
0.4,0.6,7.3375,-5.4283533327068
0.4,0.6,7.35,-5.44761176794042
0.4,0.6,7.3625,-5.48251484490593
0.4,0.6,7.375,-5.53328646070976
0.4,0.6,7.3875,-5.59983803753485
0.4,0.6,7.4,-5.68170638658221
0.4,0.6,7.4125,-5.77796807442149
0.4,0.6,7.425,-5.88713090523816
0.4,0.6,7.4375,-6.00701302206626
0.4,0.6,7.45,-6.13463279705007
0.4,0.6,7.4625,-6.26614722099576
0.4,0.6,7.475,-6.39688932284128
0.4,0.6,7.4875,-6.52155903253381
0.4,0.6,7.5,-6.63460688068937
0.4,0.6,7.5125,-6.73080781100491
0.4,0.6,7.525,-6.80595538793908
0.4,0.6,7.5375,-6.85753582346342
0.4,0.6,7.55,-6.88520411588638
