freq	dB(SP1.SP.S(1,1))
4.92999999999999972E9	-1.52839410045550927E1
4.93999999999999950E9	-1.50183453517255927E1
4.95000000000000018E9	-1.47664235416153766E1
4.95999999999999996E9	-1.45273361535461709E1
4.97000000000000064E9	-1.43003355278537803E1
4.97999999999999954E9	-1.40847541301887436E1
4.99000000000000021E9	-1.38799948283276664E1
5.00000000000000000E9	-1.36855227286121228E1
5.00999999999999979E9	-1.35008582940009503E1
5.02000000000000046E9	-1.33255715230777350E1
5.02999999999999936E9	-1.31592770136842518E1
5.04000000000000004E9	-1.30016297693963878E1
5.04999999999999982E9	-1.28523216341821001E1
5.06000000000000050E9	-1.27110782620353335E1
5.07000000000000028E9	-1.25776565454529909E1
5.08000000000000007E9	-1.24518424402972294E1
5.08999999999999986E9	-1.23334491355799458E1
5.09999999999999964E9	-1.22223155255873817E1
5.11000000000000032E9	-1.21183049489394223E1
5.12000000000000011E9	-1.20213041649720997E1
5.12999999999999989E9	-1.19312225424770135E1
5.13999999999999968E9	-1.18479914395045305E1
5.15000000000000036E9	-1.17715637557552322E1
5.16000000000000014E9	-1.17019136411286784E1
5.16999999999999993E9	-1.16390363453021384E1
5.17999999999999972E9	-1.15829481937800649E1
5.18999999999999950E9	-1.15336866756459266E1
5.20000000000000018E9	-1.14913106271888243E1
5.20999999999999996E9	-1.14559004935490338E1
5.22000000000000064E9	-1.14275586473602719E1
5.22999999999999954E9	-1.14064097388424912E1
5.24000000000000021E9	-1.13926010456242488E1
5.25000000000000000E9	-1.13863027823870722E1
5.25999999999999979E9	-1.13877083197625040E1
5.27000000000000046E9	-1.13970342482159759E1
5.27999999999999936E9	-1.14145202052307493E1
5.29000000000000004E9	-1.14404283621350800E1
5.29999999999999982E9	-1.14750424394255934E1
5.31000000000000050E9	-1.15186660853050671E1
5.32000000000000028E9	-1.15716204101235087E1
5.33000000000000007E9	-1.16342404181560566E1
5.33999999999999986E9	-1.17068700163765449E1
5.34999999999999964E9	-1.17898552065413087E1
5.36000000000000032E9	-1.18835349815477476E1
5.37000000000000011E9	-1.19882293504652693E1
5.37999999999999989E9	-1.21042238118702161E1
5.38999999999999968E9	-1.22317494889412814E1
5.40000000000000036E9	-1.23709580451306067E1
5.41000000000000014E9	-1.25218904386687169E1
5.41999999999999993E9	-1.26844385846288943E1
5.42999999999999972E9	-1.28582991323483942E1
5.43999999999999950E9	-1.30429189188949746E1
5.45000000000000018E9	-1.32374323448939291E1
5.45999999999999996E9	-1.34405920905043264E1
5.47000000000000064E9	-1.36506964202710313E1
5.47999999999999954E9	-1.38655189676039359E1
5.49000000000000021E9	-1.40822503812284383E1
5.50000000000000000E9	-1.42974653244157679E1
5.50999999999999979E9	-1.45071323181787570E1
5.52000000000000046E9	-1.47066863748119769E1
5.52999999999999936E9	-1.48911830827870095E1
5.54000000000000004E9	-1.50555452404603640E1
5.54999999999999982E9	-1.51948975706768064E1
5.56000000000000050E9	-1.53049623922525924E1
5.57000000000000028E9	-1.53824645483740619E1
5.58000000000000007E9	-1.54254766122797116E1
5.58999999999999986E9	-1.54336352601303783E1
5.59999999999999964E9	-1.54081814115475724E1
5.61000000000000032E9	-1.53518153277988634E1
5.62000000000000011E9	-1.52683996999182847E1
5.62999999999999989E9	-1.51625734735658146E1
5.63999999999999968E9	-1.50393477875072956E1
5.65000000000000036E9	-1.49037440520256759E1
5.66000000000000014E9	-1.47605113613291050E1
5.66999999999999993E9	-1.46139361808907231E1
5.67999999999999972E9	-1.44677385587289087E1
5.68999999999999950E9	-1.43250384667509745E1
5.70000000000000018E9	-1.41883723819966745E1
5.70999999999999996E9	-1.40597414737391979E1
5.72000000000000064E9	-1.39406763529433686E1
5.72999999999999954E9	-1.38323075133890705E1
5.74000000000000021E9	-1.37354343626493214E1
5.75000000000000000E9	-1.36505887073443599E1
5.75999999999999979E9	-1.35780906756733843E1
5.77000000000000046E9	-1.35180964535111836E1
5.77999999999999936E9	-1.34706380516040691E1
5.79000000000000004E9	-1.34356557753190375E1
5.79999999999999982E9	-1.34130242681412981E1
5.81000000000000050E9	-1.34025730435367252E1
5.82000000000000028E9	-1.34041023741817367E1
5.83000000000000007E9	-1.34173953166684568E1
5.83999999999999986E9	-1.34422265406243047E1
5.84999999999999964E9	-1.34783685194001679E1
5.86000000000000032E9	-1.35255955334211952E1
5.87000000000000011E9	-1.35836858407383376E1
5.87999999999999989E9	-1.36524222833651643E1
5.88999999999999968E9	-1.37315915222232898E1
5.90000000000000036E9	-1.38209820268276462E1
5.91000000000000014E9	-1.39203808868147338E1
5.91999999999999993E9	-1.40295694597259191E1
5.92999999999999972E9	-1.41483178220368022E1
5.93999999999999950E9	-1.42763779476789376E1
5.95000000000000018E9	-1.44134755003198367E1
5.95999999999999996E9	-1.45593000934763617E1
5.97000000000000064E9	-1.47134938484542110E1
5.97999999999999954E9	-1.48756380682023459E1
5.99000000000000021E9	-1.50452378518541674E1
6.00000000000000000E9	-1.52217045094307957E1
6.00999999999999979E9	-1.54043357120821001E1
6.02000000000000046E9	-1.55922934478316755E1
6.02999999999999936E9	-1.57845800679186254E1
6.04000000000000004E9	-1.59800130296191800E1
6.04999999999999982E9	-1.61771993931037494E1
6.06000000000000050E9	-1.63745117311028632E1
6.07000000000000028E9	-1.65700678614603669E1
6.08000000000000007E9	-1.67617176787550615E1
6.08999999999999986E9	-1.69470412477521171E1
6.09999999999999964E9	-1.71233630506615420E1
6.11000000000000032E9	-1.72877875755802313E1
6.12000000000000011E9	-1.74372609327986505E1
6.12999999999999989E9	-1.75686615052780093E1
6.13999999999999968E9	-1.76789195089145368E1
6.15000000000000036E9	-1.77651607948061008E1
6.16000000000000014E9	-1.78248648117204356E1
6.16999999999999993E9	-1.78560214890705704E1
6.17999999999999972E9	-1.78572684404976090E1
6.18999999999999950E9	-1.78279898075093657E1
6.20000000000000018E9	-1.77683620300781264E1
6.20999999999999996E9	-1.76793393832266754E1
6.22000000000000064E9	-1.75625815216976244E1
6.22999999999999954E9	-1.74203340912478533E1
6.24000000000000021E9	-1.72552794835311163E1
6.25000000000000000E9	-1.70703768580976289E1
6.25999999999999979E9	-1.68687087839177319E1
6.27000000000000046E9	-1.66533474482907229E1
6.27999999999999936E9	-1.64272479288082351E1
6.29000000000000004E9	-1.61931709125109013E1
6.29999999999999982E9	-1.59536333316310808E1
6.31000000000000050E9	-1.57108829528853611E1
6.32000000000000028E9	-1.54668918739500350E1
6.33000000000000007E9	-1.52233638017023098E1
6.33999999999999986E9	-1.49817505262307282E1
6.34999999999999964E9	-1.47432738361354376E1
6.36000000000000032E9	-1.45089500146485428E1
6.37000000000000011E9	-1.42796148767162800E1
6.37999999999999989E9	-1.40559479909106022E1
6.38999999999999968E9	-1.38384952610481315E1
6.40000000000000036E9	-1.36276894316195563E1
6.40999999999999925E9	-1.34238683515381974E1
6.41999999999999993E9	-1.32272910081992956E1
6.42999999999999972E9	-1.30381514524289011E1
6.44000000000000039E9	-1.28565907946731928E1
6.45000000000000018E9	-1.26827074794504369E1
6.45999999999999908E9	-1.25165660503580778E1
6.47000000000000064E9	-1.23582046101589471E1
6.47999999999999954E9	-1.22076411654485240E1
6.49000000000000021E9	-1.20648790269715334E1
6.50000000000000000E9	-1.19299114172745724E1
6.50999999999999979E9	-1.18027254185546604E1
6.52000000000000046E9	-1.16833053761370187E1
6.52999999999999936E9	-1.15716358574125744E1
6.54000000000000092E9	-1.14677042524405981E1
6.54999999999999982E9	-1.13715030907644943E1
6.55999999999999961E9	-1.12830321392072408E1
6.57000000000000028E9	-1.12023003373594365E1
6.58000000000000007E9	-1.11293276210062064E1
6.59000000000000075E9	-1.10641466787071585E1
6.59999999999999964E9	-1.10068046830231592E1
6.60999999999999943E9	-1.09573650353732988E1
6.62000000000000011E9	-1.09159091621326398E1
6.62999999999999989E9	-1.08825383993051106E1
6.64000000000000057E9	-1.08573760039254230E1
6.65000000000000036E9	-1.08405693322875085E1
6.65999999999999925E9	-1.08322922282499734E1
6.66999999999999993E9	-1.08327476693510083E1
6.67999999999999972E9	-1.08421707244711785E1
6.69000000000000039E9	-1.08608318845636354E1
6.70000000000000018E9	-1.08890408378830639E1
6.70999999999999908E9	-1.09271507736431972E1
6.72000000000000064E9	-1.09755633137266195E1
6.72999999999999954E9	-1.10347341917561148E1
