"cutx2 [mm]","cuty1 [mm]","Freq [GHz]","dB(S(1,1)) []"
0.6,0.4,5.8375,-15.8213637365907
0.6,0.4,5.85,-15.8392052930864
0.6,0.4,5.8625,-15.8441962048584
0.6,0.4,5.875,-15.8381473636057
0.6,0.4,5.8875,-15.8233722284689
0.6,0.4,5.9,-15.8026050107592
0.6,0.4,5.9125,-15.7788974569798
0.6,0.4,5.925,-15.7555030898363
0.6,0.4,5.9375,-15.7357573693562
0.6,0.4,5.95,-15.7229605628202
0.6,0.4,5.9625,-15.7202676860931
0.6,0.4,5.975,-15.7305872277615
0.6,0.4,5.9875,-15.7564878914583
0.6,0.4,6,-15.8001105182883
0.6,0.4,6.0125,-15.8630807680618
0.6,0.4,6.025,-15.9464170774617
0.6,0.4,6.0375,-16.0504279599872
0.6,0.4,6.05,-16.1745931224341
0.6,0.4,6.0625,-16.3174246895702
0.6,0.4,6.075,-16.4763089878012
0.6,0.4,6.0875,-16.6473371729256
0.6,0.4,6.1,-16.8251459813115
0.6,0.4,6.1125,-17.002808846035
0.6,0.4,6.125,-17.1718408895276
0.6,0.4,6.1375,-17.3224019401452
0.6,0.4,6.15,-17.4437849524259
0.6,0.4,6.1625,-17.5252419988585
0.6,0.4,6.175,-17.5571102893223
0.6,0.4,6.1875,-17.5320672207285
0.6,0.4,6.2,-17.4462214550012
0.6,0.4,6.2125,-17.299720222732
0.6,0.4,6.225,-17.0966730847766
0.6,0.4,6.2375,-16.8444185287424
0.6,0.4,6.25,-16.5523718235662
0.6,0.4,6.2625,-16.2307812461462
0.6,0.4,6.275,-15.8896661196508
0.6,0.4,6.2875,-15.5380786868893
0.6,0.4,6.3,-15.1837042057382
0.6,0.4,6.3125,-14.8327353654408
0.6,0.4,6.325,-14.4899312932181
0.6,0.4,6.3375,-14.1587794252381
0.6,0.4,6.35,-13.8417001399443
0.6,0.4,6.3625,-13.5402563056832
0.6,0.4,6.375,-13.2553472368972
0.6,0.4,6.3875,-12.9873780677034
0.6,0.4,6.4,-12.736402309682
0.6,0.4,6.4125,-12.5022388660562
0.6,0.4,6.425,-12.2845663082555
0.6,0.4,6.4375,-12.0829976760259
0.6,0.4,6.45,-11.8971389921308
0.6,0.4,6.4625,-11.7266343967292
0.6,0.4,6.475,-11.5712004607815
0.6,0.4,6.4875,-11.4306519016811
0.6,0.4,6.5,-11.3049206186855
0.6,0.4,6.5125,-11.1940696913229
0.6,0.4,6.525,-11.0983037316564
0.6,0.4,6.5375,-11.0179767402807
0.6,0.4,6.55,-10.9535983754037
0.6,0.4,6.5625,-10.9058392952132
0.6,0.4,6.575,-10.8755359679189
0.6,0.4,6.5875,-10.8636950546085
0.6,0.4,6.6,-10.8714971526148
0.6,0.4,6.6125,-10.9002993411749
0.6,0.4,6.625,-10.951635602817
0.6,0.4,6.6375,-11.027213822631
0.6,0.4,6.65,-11.128907730514
0.6,0.4,6.6625,-11.2587419107402
0.6,0.4,6.675,-11.418867948663
0.6,0.4,6.6875,-11.6115300319142
0.6,0.4,6.7,-11.8390190042897
0.6,0.4,6.7125,-12.1036151143
0.6,0.4,6.725,-12.4075216152177
0.6,0.4,6.7375,-12.7527940392856
0.6,0.4,6.75,-13.1412734452024
0.6,0.4,6.7625,-13.574536273009
0.6,0.4,6.775,-14.0538786105949
0.6,0.4,6.7875,-14.5803583501451
0.6,0.4,6.8,-15.1549237524928
0.6,0.4,6.8125,-15.7786586895894
0.6,0.4,6.825,-16.4531684768442
0.6,0.4,6.8375,-17.1811083306197
0.6,0.4,6.85,-17.9668080881819
0.6,0.4,6.8625,-18.8168517282338
0.6,0.4,6.875,-19.7402780257965
0.6,0.4,6.8875,-20.7476373769708
0.6,0.4,6.9,-21.8470862618254
0.6,0.4,6.9125,-23.0331398319441
0.6,0.4,6.925,-24.2585190183218
0.6,0.4,6.9375,-25.3764933345764
0.6,0.4,6.95,-26.0798562892018
0.6,0.4,6.9625,-26.005295657695
0.6,0.4,6.975,-25.0932963729385
0.6,0.4,6.9875,-23.6690767136554
0.6,0.4,7,-22.0882473214973
0.6,0.4,7.0125,-20.5465235726399
0.6,0.4,7.025,-19.1179642367474
0.6,0.4,7.0375,-17.8200401756848
0.6,0.4,7.05,-16.6488704452122
0.6,0.4,7.0625,-15.5939415658626
0.6,0.4,7.075,-14.6436372241328
0.6,0.4,7.0875,-13.7871185039596
0.6,0.4,7.1,-13.0148249120111
0.6,0.4,7.1125,-12.3184821724155
0.6,0.4,7.125,-11.6909561745114
0.6,0.4,7.1375,-11.1260793827241
0.6,0.4,7.15,-10.6184930351201
0.6,0.4,7.1625,-10.1635164972948
0.6,0.4,7.175,-9.75704337147401
0.6,0.4,7.1875,-9.39546018537009
0.6,0.4,7.2,-9.07558279769318
0.6,0.4,7.2125,-8.79460606854982
0.6,0.4,7.225,-8.55006304905517
0.6,0.4,7.2375,-8.33979062903834
0.6,0.4,7.25,-8.1618991303344
0.6,0.4,7.2625,-8.01474371490865
0.6,0.4,7.275,-7.8968956957562
0.6,0.4,7.2875,-7.80711191419702
0.6,0.4,7.3,-7.74430031202994
0.6,0.4,7.3125,-7.70747972915205
0.6,0.4,7.325,-7.69573187178536
0.6,0.4,7.3375,-7.70814343997818
0.6,0.4,7.35,-7.74373675252002
0.6,0.4,7.3625,-7.80138811229822
0.6,0.4,7.375,-7.87973493010565
0.6,0.4,7.3875,-7.97707558853138
0.6,0.4,7.4,-8.09127034794687
0.6,0.4,7.4125,-8.21965699735663
0.6,0.4,7.425,-8.35900030093392
0.6,0.4,7.4375,-8.50549723114332
0.6,0.4,7.45,-8.65485704628757
0.6,0.4,7.4625,-8.80246310152668
0.6,0.4,7.475,-8.94360126469289
0.6,0.4,7.4875,-9.07371325509891
0.6,0.4,7.5,-9.18861432101307
0.6,0.4,7.5125,-9.28461796007006
0.6,0.4,7.525,-9.35854294779412
0.6,0.4,7.5375,-9.4076306552625
0.6,0.4,7.55,-9.42944930534381
0.6,0.4,7.5625,-9.42187998377816
0.6,0.4,7.575,-9.38325376929566
0.6,0.4,7.5875,-9.31264752457503
0.6,0.4,7.6,-9.21027127854689
0.6,0.4,7.6125,-9.07782327623255
0.6,0.4,7.625,-8.91867657577076
0.6,0.4,7.6375,-8.73780454458729
0.6,0.4,7.65,-8.54143671459468
0.6,0.4,7.6625,-8.33652323474559
0.6,0.4,7.675,-8.13013578105019
0.6,0.4,7.6875,-7.92892820242622
0.6,0.4,7.7,-7.73873435283054
0.6,0.4,7.7125,-7.56432237718162
0.6,0.4,7.725,-7.4092791376087
0.6,0.4,7.7375,-7.27597648281406
0.6,0.4,7.75,-7.16557179797936
0.6,0.4,7.7625,-7.07801294507557
0.6,0.4,7.775,-7.01204631094179
0.6,0.4,7.7875,-6.96525966482578
0.6,0.4,7.8,-6.93421789744393
0.6,0.4,7.8125,-6.91475181578756
0.6,0.4,7.825,-6.90242080961297
0.6,0.4,7.8375,-6.89309189130113
0.6,0.4,7.85,-6.88349885879586
0.6,0.4,7.8625,-6.87162498971351
0.6,0.4,7.875,-6.85681832813781
0.6,0.4,7.8875,-6.83966020632211
0.6,0.4,7.9,-6.82168882607779
0.6,0.4,7.9125,-6.8050880091646
0.6,0.4,7.925,-6.79240644635863
0.6,0.4,7.9375,-6.78632241076351
0.6,0.4,7.95,-6.78944263883368
0.6,0.4,7.9625,-6.80412189309331
0.6,0.4,7.975,-6.83229745790849
0.6,0.4,7.9875,-6.87533925972156
0.6,0.4,8,-6.9339187891126
0.6,0.4,8.0125,-7.00790147338138
0.6,0.4,8.025,-7.09627131851647
0.6,0.4,8.0375,-7.19710491886312
0.6,0.4,8.05,-7.3076222654278
0.6,0.4,8.0625,-7.42434853166158
0.6,0.4,8.075,-7.54341585453522
0.6,0.4,8.0875,-7.66100906930144
0.6,0.4,8.1,-7.77391274588053
0.6,0.4,8.1125,-7.88006030935488
0.6,0.4,8.125,-7.978945664536
0.6,0.4,8.1375,-8.07176307679382
0.6,0.4,8.15,-8.16120346244979
0.6,0.4,8.1625,-8.25093274627271
0.6,0.4,8.175,-8.3448644528397
0.6,0.4,8.1875,-8.44637590197855
0.6,0.4,8.2,-8.5576036441412
0.6,0.4,8.2125,-8.67892370068879
0.6,0.4,8.225,-8.80871590368442
0.6,0.4,8.2375,-8.94353666698272
0.6,0.4,8.25,-9.07883263749096
0.6,0.4,8.2625,-9.21022193774608
0.6,0.4,8.275,-9.33506835961378
0.6,0.4,8.2875,-9.45364675570704
0.6,0.4,8.3,-9.56896862865709
0.6,0.4,8.3125,-9.68470906312777
0.6,0.4,8.325,-9.80167325886253
0.6,0.4,8.3375,-9.91429647720163
0.6,0.4,8.35,-10.0090832150676
0.6,0.4,8.3625,-10.0663828139206
0.6,0.4,8.375,-10.0655801867459
0.6,0.4,8.3875,-9.99197701443161
0.6,0.4,8.4,-9.84224610687796
0.6,0.4,8.4125,-9.62573614455351
0.6,0.4,8.425,-9.36131364301521
0.6,0.4,8.4375,-9.07191794283302
0.6,0.4,8.45,-8.77953016849868
0.6,0.4,8.4625,-8.50199502089786
0.6,0.4,8.475,-8.25166828075706
0.6,0.4,8.4875,-8.03517480345926
0.6,0.4,8.5,-7.85360223791662
0.6,0.4,8.5125,-7.70282724474355
0.6,0.4,8.525,-7.57409066832489
0.6,0.4,8.5375,-7.4552308036403
0.6,0.4,8.55,-7.33294822339623
0.6,0.4,8.5625,-7.19594285417828
0.6,0.4,8.575,-7.03792928357459
0.6,0.4,8.5875,-6.8591296106385
0.6,0.4,8.6,-6.66549859466663
0.6,0.4,8.6125,-6.46624964096107
0.6,0.4,8.625,-6.27105955806524
0.6,0.4,8.6375,-6.08807996905557
0.6,0.4,8.65,-5.92309133638476
0.6,0.4,8.6625,-5.77953474011752
0.6,0.4,8.675,-5.65898567050009
0.6,0.4,8.6875,-5.5617333285794
0.6,0.4,8.7,-5.48728942497246
0.6,0.4,8.7125,-5.43476931812797
0.6,0.4,8.725,-5.4031500351073
0.6,0.4,8.7375,-5.3914318987671
0.6,0.4,8.75,-5.3987326786304
0.6,0.4,8.7625,-5.4243378894907
0.6,0.4,8.775,-5.46772419713434
0.6,0.4,8.7875,-5.5285671823503
0.6,0.4,8.8,-5.60674050826221
0.6,0.4,8.8125,-5.70231071240211
0.6,0.4,8.825,-5.81553012569679
0.6,0.4,8.8375,-5.94682953269869
0.6,0.4,8.85,-6.09681182971195
0.6,0.4,8.8625,-6.2662476304655
0.6,0.4,8.875,-6.45607272991361
0.6,0.4,8.8875,-6.6673846734197
0.6,0.4,8.9,-6.90143110796903
0.6,0.4,8.9125,-7.15957700782348
0.6,0.4,8.925,-7.44323215103651
0.6,0.4,8.9375,-7.75371275415763
0.6,0.4,8.95,-8.09199915150562
0.6,0.4,8.9625,-8.45833825089278
0.6,0.4,8.975,-8.85163849082684
0.6,0.4,8.9875,-9.26863214863911
0.6,0.4,9,-9.7028499438641
