"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
90.0000000000002,90.0000000000002,4,20.1796055487262
90.0000000000002,90.0000000000002,4.0125,19.8552653590233
90.0000000000002,90.0000000000002,4.025,19.5400366612798
90.0000000000002,90.0000000000002,4.0375,19.2335541007568
90.0000000000002,90.0000000000002,4.05,18.9354864355742
90.0000000000002,90.0000000000002,4.0625,18.6455303583098
90.0000000000002,90.0000000000002,4.075,18.3634121955508
90.0000000000002,90.0000000000002,4.0875,18.0888787474017
90.0000000000002,90.0000000000002,4.1,17.8217037651741
90.0000000000002,90.0000000000002,4.1125,17.5616793420848
90.0000000000002,90.0000000000002,4.125,17.3086185991213
90.0000000000002,90.0000000000002,4.1375,17.062352389632
90.0000000000002,90.0000000000002,4.15,16.8227281866474
90.0000000000002,90.0000000000002,4.1625,16.5896094504194
90.0000000000002,90.0000000000002,4.175,16.3628757185456
90.0000000000002,90.0000000000002,4.1875,16.1424198930272
90.0000000000002,90.0000000000002,4.2,15.928148739847
90.0000000000002,90.0000000000002,4.2125,15.7199823074187
90.0000000000002,90.0000000000002,4.225,15.5178535041618
90.0000000000002,90.0000000000002,4.2375,15.3217065559879
90.0000000000002,90.0000000000002,4.25,15.1314981728892
90.0000000000002,90.0000000000002,4.2625,14.9471964801242
90.0000000000002,90.0000000000002,4.275,14.768780572844
90.0000000000002,90.0000000000002,4.2875,14.5962404194507
90.0000000000002,90.0000000000002,4.3,14.4295774784498
90.0000000000002,90.0000000000002,4.3125,14.2688022842091
90.0000000000002,90.0000000000002,4.325,14.1139376798857
90.0000000000002,90.0000000000002,4.3375,13.9650157425205
90.0000000000002,90.0000000000002,4.35,13.8220792481499
90.0000000000002,90.0000000000002,4.3625,13.6851811669855
90.0000000000002,90.0000000000002,4.375,13.5543849037165
90.0000000000002,90.0000000000002,4.3875,13.4297635513551
90.0000000000002,90.0000000000002,4.4,13.3114011523166
90.0000000000002,90.0000000000002,4.4125,13.1993909152526
90.0000000000002,90.0000000000002,4.425,13.0938374224659
90.0000000000002,90.0000000000002,4.4375,12.9948545859106
90.0000000000002,90.0000000000002,4.45,12.9025668523211
90.0000000000002,90.0000000000002,4.4625,12.8171089434222
90.0000000000002,90.0000000000002,4.475,12.7386263282231
90.0000000000002,90.0000000000002,4.4875,12.6672737730362
90.0000000000002,90.0000000000002,4.5,12.6032173116355
90.0000000000002,90.0000000000002,4.5125,12.5466337639743
90.0000000000002,90.0000000000002,4.525,12.4977099377326
90.0000000000002,90.0000000000002,4.5375,12.456643761248
90.0000000000002,90.0000000000002,4.55,12.4236438336399
90.0000000000002,90.0000000000002,4.5625,12.3989307029335
90.0000000000002,90.0000000000002,4.575,12.3827360437038
90.0000000000002,90.0000000000002,4.5875,12.3753034111276
90.0000000000002,90.0000000000002,4.6,12.3768891991289
90.0000000000002,90.0000000000002,4.6125,12.3877628245162
90.0000000000002,90.0000000000002,4.625,12.4082072521535
90.0000000000002,90.0000000000002,4.6375,12.4385205563498
90.0000000000002,90.0000000000002,4.65,12.4790172793725
90.0000000000002,90.0000000000002,4.6625,12.5300288169722
90.0000000000002,90.0000000000002,4.675,12.5919055565772
90.0000000000002,90.0000000000002,4.6875,12.665019690475
90.0000000000002,90.0000000000002,4.7,12.7497671301972
90.0000000000002,90.0000000000002,4.7125,12.8465696787231
90.0000000000002,90.0000000000002,4.725,12.9558799141455
90.0000000000002,90.0000000000002,4.7375,13.0781838340047
90.0000000000002,90.0000000000002,4.75,13.2140072760048
90.0000000000002,90.0000000000002,4.7625,13.3639206861818
90.0000000000002,90.0000000000002,4.775,13.5285452952503
90.0000000000002,90.0000000000002,4.7875,13.7085634655665
90.0000000000002,90.0000000000002,4.8,13.9047260772858
90.0000000000002,90.0000000000002,4.8125,14.1178655286287
90.0000000000002,90.0000000000002,4.825,14.3489090083732
90.0000000000002,90.0000000000002,4.8375,14.5988951638713
90.0000000000002,90.0000000000002,4.85,14.8689948070524
90.0000000000002,90.0000000000002,4.8625,15.1605353335323
90.0000000000002,90.0000000000002,4.875,15.4750319515239
90.0000000000002,90.0000000000002,4.8875,15.814224873074
90.0000000000002,90.0000000000002,4.9,16.1801281014121
90.0000000000002,90.0000000000002,4.9125,16.5750897704924
90.0000000000002,90.0000000000002,4.925,17.0018702854906
90.0000000000002,90.0000000000002,4.9375,17.4637447392819
90.0000000000002,90.0000000000002,4.95,17.9646394021745
90.0000000000002,90.0000000000002,4.9625,18.5093112357049
90.0000000000002,90.0000000000002,4.975,19.1036004763788
90.0000000000002,90.0000000000002,4.9875,19.7547834652257
90.0000000000002,90.0000000000002,5,20.4720781538268
90.0000000000002,90.0000000000002,5.0125,21.2673983619362
90.0000000000002,90.0000000000002,5.025,22.1565107858534
90.0000000000002,90.0000000000002,5.0375,23.1608870397561
90.0000000000002,90.0000000000002,5.05,24.310822609412
90.0000000000002,90.0000000000002,5.0625,25.6510372853303
90.0000000000002,90.0000000000002,5.075,27.2515397974907
90.0000000000002,90.0000000000002,5.0875,29.2312074305422
90.0000000000002,90.0000000000002,5.1,31.8174023612176
90.0000000000002,90.0000000000002,5.1125,35.5384264302658
90.0000000000002,90.0000000000002,5.125,42.220164405849
90.0000000000002,90.0000000000002,5.1375,58.0949518276331
90.0000000000002,90.0000000000002,5.15,39.7899479471218
90.0000000000002,90.0000000000002,5.1625,34.3141039304425
90.0000000000002,90.0000000000002,5.175,30.9848734853757
90.0000000000002,90.0000000000002,5.1875,28.5886536829955
90.0000000000002,90.0000000000002,5.2,26.718060853867
90.0000000000002,90.0000000000002,5.2125,25.1858249831257
90.0000000000002,90.0000000000002,5.225,23.890154352315
90.0000000000002,90.0000000000002,5.2375,22.7695090955191
90.0000000000002,90.0000000000002,5.25,21.7838202589682
90.0000000000002,90.0000000000002,5.2625,20.9055262215172
90.0000000000002,90.0000000000002,5.275,20.1148509208519
90.0000000000002,90.0000000000002,5.2875,19.3971146302949
90.0000000000002,90.0000000000002,5.3,18.7411195676532
90.0000000000002,90.0000000000002,5.3125,18.1381246394638
90.0000000000002,90.0000000000002,5.325,17.581172811934
90.0000000000002,90.0000000000002,5.3375,17.0646346336702
90.0000000000002,90.0000000000002,5.35,16.5838881099468
90.0000000000002,90.0000000000002,5.3625,16.1350911851961
90.0000000000002,90.0000000000002,5.375,15.7150127895175
90.0000000000002,90.0000000000002,5.3875,15.320910119635
90.0000000000002,90.0000000000002,5.4,14.9504326077475
90.0000000000002,90.0000000000002,5.4125,14.6015511342728
90.0000000000002,90.0000000000002,5.425,14.2724989517862
90.0000000000002,90.0000000000002,5.4375,13.9617299265492
90.0000000000002,90.0000000000002,5.45,13.667881542497
90.0000000000002,90.0000000000002,5.4625,13.3897463447406
90.0000000000002,90.0000000000002,5.475,13.126249076634
90.0000000000002,90.0000000000002,5.4875,12.8764283732678
90.0000000000002,90.0000000000002,5.5,12.6394194782419
90.0000000000002,90.0000000000002,5.5125,12.414442279399
90.0000000000002,90.0000000000002,5.525,12.2007903092366
90.0000000000002,90.0000000000002,5.5375,11.9978213330747
90.0000000000002,90.0000000000002,5.55,11.8049499099212
90.0000000000002,90.0000000000002,5.5625,11.6216405979308
90.0000000000002,90.0000000000002,5.575,11.4474017064189
90.0000000000002,90.0000000000002,5.5875,11.2817816289867
90.0000000000002,90.0000000000002,5.6,11.1243634696113
90.0000000000002,90.0000000000002,5.6125,10.9747624933771
90.0000000000002,90.0000000000002,5.625,10.832621662088
90.0000000000002,90.0000000000002,5.6375,10.6976100589332
90.0000000000002,90.0000000000002,5.65,10.5694196754563
90.0000000000002,90.0000000000002,5.6625,10.4477636154968
90.0000000000002,90.0000000000002,5.675,10.3323742364962
90.0000000000002,90.0000000000002,5.6875,10.2230014061849
90.0000000000002,90.0000000000002,5.7,10.1194103992525
90.0000000000002,90.0000000000002,5.7125,10.0213816476921
90.0000000000002,90.0000000000002,5.725,9.92870895313626
90.0000000000002,90.0000000000002,5.7375,9.84119842241806
90.0000000000002,90.0000000000002,5.75,9.75866767397389
90.0000000000002,90.0000000000002,5.7625,9.68094469758478
90.0000000000002,90.0000000000002,5.775,9.60786792798777
90.0000000000002,90.0000000000002,5.7875,9.53928355844609
90.0000000000002,90.0000000000002,5.8,9.47504793281325
90.0000000000002,90.0000000000002,5.8125,9.41502412717614
90.0000000000002,90.0000000000002,5.825,9.35908291430633
90.0000000000002,90.0000000000002,5.8375,9.3071022023
90.0000000000002,90.0000000000002,5.85,9.25896620097869
90.0000000000002,90.0000000000002,5.8625,9.21456530337375
90.0000000000002,90.0000000000002,5.875,9.17379549236797
90.0000000000002,90.0000000000002,5.8875,9.13655859307527
90.0000000000002,90.0000000000002,5.9,9.10276138892499
90.0000000000002,90.0000000000002,5.9125,9.07231520331399
90.0000000000002,90.0000000000002,5.925,9.04513679309377
90.0000000000002,90.0000000000002,5.9375,9.02114621646445
90.0000000000002,90.0000000000002,5.95,9.00026908368023
90.0000000000002,90.0000000000002,5.9625,8.98243419518134
90.0000000000002,90.0000000000002,5.975,8.96757435949878
90.0000000000002,90.0000000000002,5.9875,8.95562633462545
90.0000000000002,90.0000000000002,6,8.94653082899591
90.0000000000002,90.0000000000002,6.0125,8.94023130929575
90.0000000000002,90.0000000000002,6.025,8.93667518004947
90.0000000000002,90.0000000000002,6.0375,8.93581308138875
90.0000000000002,90.0000000000002,6.05,8.93759877100552
90.0000000000002,90.0000000000002,6.0625,8.94198949123323
90.0000000000002,90.0000000000002,6.075,8.94894497660466
90.0000000000002,90.0000000000002,6.0875,8.9584286932697
90.0000000000002,90.0000000000002,6.1,8.97040721718775
90.0000000000002,90.0000000000002,6.1125,8.98484961396727
90.0000000000002,90.0000000000002,6.125,9.00172822568303
90.0000000000002,90.0000000000002,6.1375,9.02101821356201
90.0000000000002,90.0000000000002,6.15,9.04269808014833
90.0000000000002,90.0000000000002,6.1625,9.06674901047167
90.0000000000002,90.0000000000002,6.175,9.09315530623443
90.0000000000002,90.0000000000002,6.1875,9.12190429087346
90.0000000000002,90.0000000000002,6.2,9.15298675825802
90.0000000000002,90.0000000000002,6.2125,9.18639594447091
90.0000000000002,90.0000000000002,6.225,9.2221290837348
90.0000000000002,90.0000000000002,6.2375,9.2601855315764
90.0000000000002,90.0000000000002,6.25,9.30056924189166
90.0000000000002,90.0000000000002,6.2625,9.34328720105878
90.0000000000002,90.0000000000002,6.275,9.38834942983758
90.0000000000002,90.0000000000002,6.2875,9.43577019182054
90.0000000000002,90.0000000000002,6.3,9.48556775246439
90.0000000000002,90.0000000000002,6.3125,9.53776347254019
90.0000000000002,90.0000000000002,6.325,9.59238328524157
90.0000000000002,90.0000000000002,6.3375,9.64945748620371
90.0000000000002,90.0000000000002,6.35,9.70902152135154
90.0000000000002,90.0000000000002,6.3625,9.77111388640724
90.0000000000002,90.0000000000002,6.375,9.83577928760684
90.0000000000002,90.0000000000002,6.3875,9.90306761062974
90.0000000000002,90.0000000000002,6.4,9.97303391556255
90.0000000000002,90.0000000000002,6.4125,10.0457392407665
90.0000000000002,90.0000000000002,6.425,10.1212513562446
90.0000000000002,90.0000000000002,6.4375,10.1996436023219
90.0000000000002,90.0000000000002,6.45,10.2809976577265
90.0000000000002,90.0000000000002,6.4625,10.3654020041086
90.0000000000002,90.0000000000002,6.475,10.4529531300455
90.0000000000002,90.0000000000002,6.4875,10.5437572076887
90.0000000000002,90.0000000000002,6.5,10.6379287677025
90.0000000000002,90.0000000000002,6.5125,10.7355929780863
90.0000000000002,90.0000000000002,6.525,10.8368858862489
90.0000000000002,90.0000000000002,6.5375,10.941955770407
90.0000000000002,90.0000000000002,6.55,11.0509629856743
90.0000000000002,90.0000000000002,6.5625,11.164083269811
90.0000000000002,90.0000000000002,6.575,11.2815069917374
90.0000000000002,90.0000000000002,6.5875,11.4034411634753
90.0000000000002,90.0000000000002,6.6,11.5301114796872
90.0000000000002,90.0000000000002,6.6125,11.6617642938359
90.0000000000002,90.0000000000002,6.625,11.7986677675372
90.0000000000002,90.0000000000002,6.6375,11.9411165279302
90.0000000000002,90.0000000000002,6.65,12.0894302779763
90.0000000000002,90.0000000000002,6.6625,12.2439607725633
90.0000000000002,90.0000000000002,6.675,12.4050942222849
90.0000000000002,90.0000000000002,6.6875,12.5732538919567
90.0000000000002,90.0000000000002,6.7,12.7489073419729
90.0000000000002,90.0000000000002,6.7125,12.9325707092945
90.0000000000002,90.0000000000002,6.725,13.1248139302587
90.0000000000002,90.0000000000002,6.7375,13.3262704869357
90.0000000000002,90.0000000000002,6.75,13.5376451090241
90.0000000000002,90.0000000000002,6.7625,13.7597250296386
90.0000000000002,90.0000000000002,6.775,13.993391825675
90.0000000000002,90.0000000000002,6.7875,14.2396352478744
90.0000000000002,90.0000000000002,6.8,14.4995757935003
90.0000000000002,90.0000000000002,6.8125,14.7744829674388
90.0000000000002,90.0000000000002,6.825,15.0658043894499
90.0000000000002,90.0000000000002,6.8375,15.3751986726461
90.0000000000002,90.0000000000002,6.85,15.7045805790542
90.0000000000002,90.0000000000002,6.8625,16.0561705897733
90.0000000000002,90.0000000000002,6.875,16.4325683752061
90.0000000000002,90.0000000000002,6.8875,16.8368387992915
90.0000000000002,90.0000000000002,6.9,17.2726313820939
90.0000000000002,90.0000000000002,6.9125,17.7443371253363
90.0000000000002,90.0000000000002,6.925,18.2573019573938
90.0000000000002,90.0000000000002,6.9375,18.8181259187924
90.0000000000002,90.0000000000002,6.95,19.4350848805153
90.0000000000002,90.0000000000002,6.9625,20.1187535818014
90.0000000000002,90.0000000000002,6.975,20.8829406758062
90.0000000000002,90.0000000000002,6.9875,21.7461516604758
90.0000000000002,90.0000000000002,7,22.7340082984204
90.0000000000002,90.0000000000002,7.0125,23.8834253341071
90.0000000000002,90.0000000000002,7.025,25.2504154446642
90.0000000000002,90.0000000000002,7.0375,26.9260702420547
90.0000000000002,90.0000000000002,7.05,29.0737986432559
90.0000000000002,90.0000000000002,7.0625,32.0345011470865
90.0000000000002,90.0000000000002,7.075,36.7399761241674
90.0000000000002,90.0000000000002,7.0875,48.4568545273848
90.0000000000002,90.0000000000002,7.1,42.7054298684033
90.0000000000002,90.0000000000002,7.1125,34.5362473544948
90.0000000000002,90.0000000000002,7.125,30.3035651707694
90.0000000000002,90.0000000000002,7.1375,27.3975070419624
90.0000000000002,90.0000000000002,7.15,25.1660364053975
90.0000000000002,90.0000000000002,7.1625,23.3440680803117
90.0000000000002,90.0000000000002,7.175,21.7973315086452
90.0000000000002,90.0000000000002,7.1875,20.4483575203936
90.0000000000002,90.0000000000002,7.2,19.2483779671213
90.0000000000002,90.0000000000002,7.2125,18.1647001363601
