"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.6,180,180,4,8.58587506735492
0.6,0.6,180,180,4.0125,8.47956680017674
0.6,0.6,180,180,4.025,8.3900682480431
0.6,0.6,180,180,4.0375,8.31779375974568
0.6,0.6,180,180,4.05,8.26307399075068
0.6,0.6,180,180,4.0625,8.22614134317201
0.6,0.6,180,180,4.075,8.20712235453711
0.6,0.6,180,180,4.0875,8.20602918778039
0.6,0.6,180,180,4.1,8.22275783164447
0.6,0.6,180,180,4.1125,8.25708952182521
0.6,0.6,180,180,4.125,8.30869148202991
0.6,0.6,180,180,4.1375,8.37712905020663
0.6,0.6,180,180,4.15,8.46187160744015
0.6,0.6,180,180,4.1625,8.56230541648646
0.6,0.6,180,180,4.175,8.67774840322
0.6,0.6,180,180,4.1875,8.80746016697152
0.6,0.6,180,180,4.2,8.95065716493058
0.6,0.6,180,180,4.2125,9.10652314400989
0.6,0.6,180,180,4.225,9.27422073958344
0.6,0.6,180,180,4.2375,9.45289908989454
0.6,0.6,180,180,4.25,9.64170173766005
0.6,0.6,180,180,4.2625,9.83977169225393
0.6,0.6,180,180,4.275,10.0462542254199
0.6,0.6,180,180,4.2875,10.2602999061948
0.6,0.6,180,180,4.3,10.4810649304766
0.6,0.6,180,180,4.3125,10.7077090615148
0.6,0.6,180,180,4.325,10.9393968155994
0.6,0.6,180,180,4.3375,11.1752914576844
0.6,0.6,180,180,4.35,11.4145555399206
0.6,0.6,180,180,4.3625,11.6563443598917
0.6,0.6,180,180,4.375,11.8998045609319
0.6,0.6,180,180,4.3875,12.1440696069729
0.6,0.6,180,180,4.4,12.3882553539116
0.6,0.6,180,180,4.4125,12.6314572518645
0.6,0.6,180,180,4.425,12.8727474860032
0.6,0.6,180,180,4.4375,13.111172078321
0.6,0.6,180,180,4.45,13.3457486593033
0.6,0.6,180,180,4.4625,13.5754688523854
0.6,0.6,180,180,4.475,13.7992934878379
0.6,0.6,180,180,4.4875,14.0161569395376
0.6,0.6,180,180,4.5,14.2249714900209
0.6,0.6,180,180,4.5125,14.4246286569259
0.6,0.6,180,180,4.525,14.6140081702368
0.6,0.6,180,180,4.5375,14.791984311135
0.6,0.6,180,180,4.55,14.9574374779678
0.6,0.6,180,180,4.5625,15.109263119794
0.6,0.6,180,180,4.575,15.2463874396866
0.6,0.6,180,180,4.5875,15.3677802873513
0.6,0.6,180,180,4.6,15.472472407272
0.6,0.6,180,180,4.6125,15.5595673553686
0.6,0.6,180,180,4.625,15.6282628849967
0.6,0.6,180,180,4.6375,15.6778619286057
0.6,0.6,180,180,4.65,15.7077888858988
0.6,0.6,180,180,4.6625,15.7176014399937
0.6,0.6,180,180,4.675,15.7070004433207
0.6,0.6,180,180,4.6875,15.6758373777936
0.6,0.6,180,180,4.7,15.6241180182252
0.6,0.6,180,180,4.7125,15.5520016276543
0.6,0.6,180,180,4.725,15.4597991178255
0.6,0.6,180,180,4.7375,15.3479656570277
0.6,0.6,180,180,4.75,15.2170934608366
0.6,0.6,180,180,4.7625,15.0678941758388
0.6,0.6,180,180,4.775,14.9011899560118
0.6,0.6,180,180,4.7875,14.7178958628078
0.6,0.6,180,180,4.8,14.5190021505706
0.6,0.6,180,180,4.8125,14.3055589740716
0.6,0.6,180,180,4.825,14.0786574878976
0.6,0.6,180,180,4.8375,13.8394170251391
0.6,0.6,180,180,4.85,13.5889683406036
0.6,0.6,180,180,4.8625,13.3284410540622
0.6,0.6,180,180,4.875,13.0589526123733
0.6,0.6,180,180,4.8875,12.7815974026751
0.6,0.6,180,180,4.9,12.4974403514781
0.6,0.6,180,180,4.9125,12.2075095460449
0.6,0.6,180,180,4.925,11.9127900314478
0.6,0.6,180,180,4.9375,11.6142255113448
0.6,0.6,180,180,4.95,11.3127116029028
0.6,0.6,180,180,4.9625,11.0090948437873
0.6,0.6,180,180,4.975,10.7041798275761
0.6,0.6,180,180,4.9875,10.3987216294093
0.6,0.6,180,180,5,10.0934345817025
0.6,0.6,180,180,5.0125,9.78899098151187
0.6,0.6,180,180,5.025,9.48602559548774
0.6,0.6,180,180,5.0375,9.1851402688657
0.6,0.6,180,180,5.05,8.88690499433249
0.6,0.6,180,180,5.0625,8.59186430505521
0.6,0.6,180,180,5.075,8.30054236040224
0.6,0.6,180,180,5.0875,8.01344395424053
0.6,0.6,180,180,5.1,7.73106319855092
0.6,0.6,180,180,5.1125,7.4538855590556
0.6,0.6,180,180,5.125,7.18239519062122
0.6,0.6,180,180,5.1375,6.91707739496683
0.6,0.6,180,180,5.15,6.65842660871091
0.6,0.6,180,180,5.1625,6.4069485629163
0.6,0.6,180,180,5.175,6.16316708177792
0.6,0.6,180,180,5.1875,5.92762946936976
0.6,0.6,180,180,5.2,5.70090704833682
0.6,0.6,180,180,5.2125,5.48360138630023
0.6,0.6,180,180,5.225,5.27634493791655
0.6,0.6,180,180,5.2375,5.07980149032441
0.6,0.6,180,180,5.25,4.89466260628082
0.6,0.6,180,180,5.2625,4.72164398635387
0.6,0.6,180,180,5.275,4.5614731173396
0.6,0.6,180,180,5.2875,4.41487835891532
0.6,0.6,180,180,5.3,4.28256679401266
0.6,0.6,180,180,5.3125,4.16520205878616
0.6,0.6,180,180,5.325,4.06337595978831
0.6,0.6,180,180,5.3375,3.97757724107592
0.6,0.6,180,180,5.35,3.90816221205034
0.6,0.6,180,180,5.3625,3.85532613112261
0.6,0.6,180,180,5.375,3.81908148099425
0.6,0.6,180,180,5.3875,3.79924948508367
0.6,0.6,180,180,5.4,3.79545671270022
0.6,0.6,180,180,5.4125,3.8071504960194
0.6,0.6,180,180,5.425,3.8336200476515
0.6,0.6,180,180,5.4375,3.87402904577503
0.6,0.6,180,180,5.45,3.92745155181707
0.6,0.6,180,180,5.4625,3.99290839305009
0.6,0.6,180,180,5.475,4.06940374924457
0.6,0.6,180,180,5.4875,4.15595340281806
0.6,0.6,180,180,5.5,4.25160985751842
0.6,0.6,180,180,5.5125,4.35548216824205
0.6,0.6,180,180,5.525,4.46674719369929
0.6,0.6,180,180,5.5375,4.58465728607633
0.6,0.6,180,180,5.55,4.70854313246393
0.6,0.6,180,180,5.5625,4.83781720351672
0.6,0.6,180,180,5.575,4.97196665405417
0.6,0.6,180,180,5.5875,5.11055333469711
0.6,0.6,180,180,5.6,5.25320789540736
0.6,0.6,180,180,5.6125,5.39962350294856
0.6,0.6,180,180,5.625,5.54955129015895
0.6,0.6,180,180,5.6375,5.70279544831766
0.6,0.6,180,180,5.65,5.85920406817513
0.6,0.6,180,180,5.6625,6.01866710028067
0.6,0.6,180,180,5.675,6.18110841551336
0.6,0.6,180,180,5.6875,6.34647898749186
0.6,0.6,180,180,5.7,6.51475424655523
0.6,0.6,180,180,5.7125,6.68592435537803
0.6,0.6,180,180,5.725,6.85999075059565
0.6,0.6,180,180,5.7375,7.03695616539762
0.6,0.6,180,180,5.75,7.2168209362244
0.6,0.6,180,180,5.7625,7.39957327955209
0.6,0.6,180,180,5.775,7.5851794507916
0.6,0.6,180,180,5.7875,7.7735800254769
0.6,0.6,180,180,5.8,7.96467638141637
0.6,0.6,180,180,5.8125,8.1583223272439
0.6,0.6,180,180,5.825,8.35431470594705
0.6,0.6,180,180,5.8375,8.55238482588841
0.6,0.6,180,180,5.85,8.75218812210808
0.6,0.6,180,180,5.8625,8.95329972640378
0.6,0.6,180,180,5.875,9.15520885882307
0.6,0.6,180,180,5.8875,9.35731576532759
0.6,0.6,180,180,5.9,9.55894019361604
0.6,0.6,180,180,5.9125,9.75932854096025
0.6,0.6,180,180,5.925,9.95767351519483
0.6,0.6,180,180,5.9375,10.1531379161976
0.6,0.6,180,180,5.95,10.344895871428
0.6,0.6,180,180,5.9625,10.5321708156963
0.6,0.6,180,180,5.975,10.7142934639671
0.6,0.6,180,180,5.9875,10.890754490973
0.6,0.6,180,180,6,11.0612623258268
0.6,0.6,180,180,6.0125,11.2257982502796
0.6,0.6,180,180,6.025,11.384653939237
0.6,0.6,180,180,6.0375,11.5384601345939
0.6,0.6,180,180,6.05,11.6881930722126
0.6,0.6,180,180,6.0625,11.8351509655108
0.6,0.6,180,180,6.075,11.980922057216
0.6,0.6,180,180,6.0875,12.1273198790607
0.6,0.6,180,180,6.1,12.2763161098565
0.6,0.6,180,180,6.1125,12.4299548369498
0.6,0.6,180,180,6.125,12.5902803985651
0.6,0.6,180,180,6.1375,12.7592641911735
0.6,0.6,180,180,6.15,12.9387508442124
0.6,0.6,180,180,6.1625,13.1304204836133
0.6,0.6,180,180,6.175,13.3357693167504
0.6,0.6,180,180,6.1875,13.5561077783982
0.6,0.6,180,180,6.2,13.7925826779575
0.6,0.6,180,180,6.2125,14.0462041002412
0.6,0.6,180,180,6.225,14.3178953026834
0.6,0.6,180,180,6.2375,14.6085389088771
0.6,0.6,180,180,6.25,14.919037149925
0.6,0.6,180,180,6.2625,15.2503734111769
0.6,0.6,180,180,6.275,15.6036717235255
0.6,0.6,180,180,6.2875,15.9802597864798
0.6,0.6,180,180,6.3,16.3817374096462
0.6,0.6,180,180,6.3125,16.8100391353979
0.6,0.6,180,180,6.325,17.2675132814081
0.6,0.6,180,180,6.3375,17.757008229175
0.6,0.6,180,180,6.35,18.2819825812156
0.6,0.6,180,180,6.3625,18.8466496875196
0.6,0.6,180,180,6.375,19.4561698517419
0.6,0.6,180,180,6.3875,20.1169257996534
0.6,0.6,180,180,6.4,20.8369057534492
0.6,0.6,180,180,6.4125,21.6262791260758
0.6,0.6,180,180,6.425,22.4982607026669
0.6,0.6,180,180,6.4375,23.4704566865406
0.6,0.6,180,180,6.45,24.5670766973564
0.6,0.6,180,180,6.4625,25.8227277160141
0.6,0.6,180,180,6.475,27.2894008572273
0.6,0.6,180,180,6.4875,29.0505394708975
0.6,0.6,180,180,6.5,31.2530141454148
0.6,0.6,180,180,6.5125,34.1940343735294
0.6,0.6,180,180,6.525,38.6391659667662
