"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.4,0.4,180,180,4,8.71885741362933
0.4,0.4,180,180,4.0125,8.56904902241075
0.4,0.4,180,180,4.025,8.43541078243355
0.4,0.4,180,180,4.0375,8.31851842485725
0.4,0.4,180,180,4.05,8.21888286226093
0.4,0.4,180,180,4.0625,8.1369365873788
0.4,0.4,180,180,4.075,8.07301753809129
0.4,0.4,180,180,4.0875,8.02735330494191
0.4,0.4,180,180,4.1,8.00005146760306
0.4,0.4,180,180,4.1125,7.99108950000121
0.4,0.4,180,180,4.125,8.00031305825641
0.4,0.4,180,180,4.1375,8.02743471712315
0.4,0.4,180,180,4.15,8.07203944769185
0.4,0.4,180,180,4.1625,8.13359167329697
0.4,0.4,180,180,4.175,8.21144990666345
0.4,0.4,180,180,4.1875,8.30487606813122
0.4,0.4,180,180,4.2,8.41305473295598
0.4,0.4,180,180,4.2125,8.53510571606742
0.4,0.4,180,180,4.225,8.67010011264623
0.4,0.4,180,180,4.2375,8.81707400321442
0.4,0.4,180,180,4.25,8.97503926588304
0.4,0.4,180,180,4.2625,9.14299497836054
0.4,0.4,180,180,4.275,9.3199344775861
0.4,0.4,180,180,4.2875,9.50485143941277
0.4,0.4,180,180,4.3,9.69674522663711
0.4,0.4,180,180,4.3125,9.89462195173754
0.4,0.4,180,180,4.325,10.0974960987498
0.4,0.4,180,180,4.3375,10.3043897030378
0.4,0.4,180,180,4.35,10.5143329201253
0.4,0.4,180,180,4.3625,10.7263607415357
0.4,0.4,180,180,4.375,10.9395131277206
0.4,0.4,180,180,4.3875,11.1528310778108
0.4,0.4,180,180,4.4,11.3653551912835
0.4,0.4,180,180,4.4125,11.5761245578153
0.4,0.4,180,180,4.425,11.7841746004442
0.4,0.4,180,180,4.4375,11.9885366261768
0.4,0.4,180,180,4.45,12.1882388278994
0.4,0.4,180,180,4.4625,12.3823048693144
0.4,0.4,180,180,4.475,12.5697567996437
0.4,0.4,180,180,4.4875,12.7496200278419
0.4,0.4,180,180,4.5,12.9209230912538
0.4,0.4,180,180,4.5125,13.0827057527529
0.4,0.4,180,180,4.525,13.2340242114975
0.4,0.4,180,180,4.5375,13.3739578420026
0.4,0.4,180,180,4.55,13.5016177586821
0.4,0.4,180,180,4.5625,13.6161566087132
0.4,0.4,180,180,4.575,13.716774992096
0.4,0.4,180,180,4.5875,13.8027366903247
0.4,0.4,180,180,4.6,13.873371695601
0.4,0.4,180,180,4.6125,13.9280921265328
0.4,0.4,180,180,4.625,13.9663969135348
0.4,0.4,180,180,4.6375,13.9878830182214
0.4,0.4,180,180,4.65,13.9922483910637
0.4,0.4,180,180,4.6625,13.9793001359006
0.4,0.4,180,180,4.675,13.9489575500678
0.4,0.4,180,180,4.6875,13.9012498492338
0.4,0.4,180,180,4.7,13.8363217625662
0.4,0.4,180,180,4.7125,13.7544248454438
0.4,0.4,180,180,4.725,13.6559149869959
0.4,0.4,180,180,4.7375,13.5412466764749
0.4,0.4,180,180,4.75,13.4109620776858
0.4,0.4,180,180,4.7625,13.2656855272115
0.4,0.4,180,180,4.775,13.1061107145749
0.4,0.4,180,180,4.7875,12.9329897531932
0.4,0.4,180,180,4.8,12.7471228628071
0.4,0.4,180,180,4.8125,12.5493489017148
0.4,0.4,180,180,4.825,12.34053152621
0.4,0.4,180,180,4.8375,12.1215516307234
0.4,0.4,180,180,4.85,11.8932965983829
0.4,0.4,180,180,4.8625,11.6566549896907
0.4,0.4,180,180,4.875,11.4125036944243
0.4,0.4,180,180,4.8875,11.1617104330989
0.4,0.4,180,180,4.9,10.9051182356163
0.4,0.4,180,180,4.9125,10.6435485755241
0.4,0.4,180,180,4.925,10.3777984458282
0.4,0.4,180,180,4.9375,10.108633088352
0.4,0.4,180,180,4.95,9.83678953684511
0.4,0.4,180,180,4.9625,9.5629744544436
0.4,0.4,180,180,4.975,9.2878635111198
0.4,0.4,180,180,4.9875,9.01210534616336
0.4,0.4,180,180,5,8.73631949023792
0.4,0.4,180,180,5.0125,8.46109903148361
0.4,0.4,180,180,5.025,8.18701524086713
0.4,0.4,180,180,5.0375,7.91461843490813
0.4,0.4,180,180,5.05,7.64444171901718
0.4,0.4,180,180,5.0625,7.37700431231163
0.4,0.4,180,180,5.075,7.11281488598744
0.4,0.4,180,180,5.0875,6.85237792641523
0.4,0.4,180,180,5.1,6.5961946030307
0.4,0.4,180,180,5.1125,6.34477014081421
0.4,0.4,180,180,5.125,6.09861875226869
0.4,0.4,180,180,5.1375,5.85826676575994
0.4,0.4,180,180,5.15,5.62425994202991
0.4,0.4,180,180,5.1625,5.39716750910275
0.4,0.4,180,180,5.175,5.17758862953449
0.4,0.4,180,180,5.1875,4.96615479172005
0.4,0.4,180,180,5.2,4.76353557004469
0.4,0.4,180,180,5.2125,4.57044078110165
0.4,0.4,180,180,5.225,4.38761845780224
0.4,0.4,180,180,5.2375,4.21585369270057
0.4,0.4,180,180,5.25,4.05596052993915
0.4,0.4,180,180,5.2625,3.90877055259515
0.4,0.4,180,180,5.275,3.77511081770756
0.4,0.4,180,180,5.2875,3.65578182140878
0.4,0.4,180,180,5.3,3.55152145223538
0.4,0.4,180,180,5.3125,3.46296761449293
0.4,0.4,180,180,5.325,3.39062033788658
0.4,0.4,180,180,5.3375,3.33479863073581
0.4,0.4,180,180,5.35,3.2956093181618
0.4,0.4,180,180,5.3625,3.27292933245312
0.4,0.4,180,180,5.375,3.26639741953345
0.4,0.4,180,180,5.3875,3.27542623057829
0.4,0.4,180,180,5.4,3.29923352465295
0.4,0.4,180,180,5.4125,3.3368797302269
0.4,0.4,180,180,5.425,3.38731490050251
0.4,0.4,180,180,5.4375,3.44943158775419
0.4,0.4,180,180,5.45,3.52210258614817
0.4,0.4,180,180,5.4625,3.6042245250159
0.4,0.4,180,180,5.475,3.69474472386285
0.4,0.4,180,180,5.4875,3.79268455141756
0.4,0.4,180,180,5.5,3.89714699558173
0.4,0.4,180,180,5.5125,4.00733157976296
0.4,0.4,180,180,5.525,4.1225291054229
0.4,0.4,180,180,5.5375,4.24212304055609
0.4,0.4,180,180,5.55,4.36558411876199
0.4,0.4,180,180,5.5625,4.4924639312283
0.4,0.4,180,180,5.575,4.6223875050094
0.4,0.4,180,180,5.5875,4.75504889770396
0.4,0.4,180,180,5.6,4.8902007914331
0.4,0.4,180,180,5.6125,5.02764782431246
0.4,0.4,180,180,5.625,5.16723869053654
0.4,0.4,180,180,5.6375,5.30886111060222
0.4,0.4,180,180,5.65,5.4524317461605
0.4,0.4,180,180,5.6625,5.59789116303782
0.4,0.4,180,180,5.675,5.74519495093233
0.4,0.4,180,180,5.6875,5.89430660482392
0.4,0.4,180,180,5.7,6.04518989752734
0.4,0.4,180,180,5.7125,6.19780042451607
0.4,0.4,180,180,5.725,6.35207582095351
0.4,0.4,180,180,5.7375,6.50792812966875
0.4,0.4,180,180,5.75,6.66523456454854
0.4,0.4,180,180,5.7625,6.82382364642468
0.4,0.4,180,180,5.775,6.98347266684038
0.4,0.4,180,180,5.7875,7.1438925533298
0.4,0.4,180,180,5.8,7.30472392986558
0.4,0.4,180,180,5.8125,7.46552812403251
0.4,0.4,180,180,5.825,7.6257859955928
0.4,0.4,180,180,5.8375,7.7849004717455
0.4,0.4,180,180,5.85,7.94219968690115
0.4,0.4,180,180,5.8625,8.09695298218818
0.4,0.4,180,180,5.875,8.24839332809551
0.4,0.4,180,180,5.8875,8.39574605037542
0.4,0.4,180,180,5.9,8.53827278450463
0.4,0.4,180,180,5.9125,8.67531792805443
0.4,0.4,180,180,5.925,8.80636692839533
0.4,0.4,180,180,5.9375,8.93110379393782
0.4,0.4,180,180,5.95,9.04947195366466
0.4,0.4,180,180,5.9625,9.16172109424399
0.4,0.4,180,180,5.975,9.2684453232546
0.4,0.4,180,180,5.9875,9.37059813491571
0.4,0.4,180,180,6,9.46948497049963
0.4,0.4,180,180,6.0125,9.56673037212297
0.4,0.4,180,180,6.025,9.66421741652108
0.4,0.4,180,180,6.0375,9.76401279184576
0.4,0.4,180,180,6.05,9.86827777128316
0.4,0.4,180,180,6.0625,9.97917014732842
0.4,0.4,180,180,6.075,10.0987654970073
0.4,0.4,180,180,6.0875,10.2289766036484
0.4,0.4,180,180,6.1,10.3714973348056
0.4,0.4,180,180,6.1125,10.5277703575982
0.4,0.4,180,180,6.125,10.6989711818088
0.4,0.4,180,180,6.1375,10.8860191136666
0.4,0.4,180,180,6.15,11.0895967769795
0.4,0.4,180,180,6.1625,11.3101907861305
0.4,0.4,180,180,6.175,11.5481362956602
0.4,0.4,180,180,6.1875,11.803665825934
0.4,0.4,180,180,6.2,12.0769586215352
0.4,0.4,180,180,6.2125,12.3681903979928
0.4,0.4,180,180,6.225,12.6775816344897
0.4,0.4,180,180,6.2375,13.005427627797
0.4,0.4,180,180,6.25,13.3521372622514
0.4,0.4,180,180,6.2625,13.7182554110751
0.4,0.4,180,180,6.275,14.1044857650005
0.4,0.4,180,180,6.2875,14.5117039071169
0.4,0.4,180,180,6.3,14.9409715155589
0.4,0.4,180,180,6.3125,15.3935533322911
0.4,0.4,180,180,6.325,15.8709337039255
0.4,0.4,180,180,6.3375,16.3748426367238
0.4,0.4,180,180,6.35,16.9072836283652
0.4,0.4,180,180,6.3625,17.4705978968657
0.4,0.4,180,180,6.375,18.0675102655995
0.4,0.4,180,180,6.3875,18.7012405522545
0.4,0.4,180,180,6.4,19.3756142902907
0.4,0.4,180,180,6.4125,20.0952417560066
0.4,0.4,180,180,6.425,20.8657450939286
0.4,0.4,180,180,6.4375,21.6940901602205
0.4,0.4,180,180,6.45,22.589052696225
0.4,0.4,180,180,6.4625,23.5619235418058
0.4,0.4,180,180,6.475,24.6275629195753
0.4,0.4,180,180,6.4875,25.8061054201773
0.4,0.4,180,180,6.5,27.1257930214093
0.4,0.4,180,180,6.5125,28.6280406913853
0.4,0.4,180,180,6.525,30.3771403792565
0.4,0.4,180,180,6.5375,32.480997146079
0.4,0.4,180,180,6.55,35.1421296236501
0.4,0.4,180,180,6.5625,38.8152564989435
0.4,0.4,180,180,6.575,44.94473634398
0.4,0.4,180,180,6.5875,82.6570450876524
0.4,0.4,180,180,6.6,45.4854426665203
0.4,0.4,180,180,6.6125,39.5372678244639
0.4,0.4,180,180,6.625,36.1045405268393
0.4,0.4,180,180,6.6375,33.6747401003246
0.4,0.4,180,180,6.65,31.771420612252
0.4,0.4,180,180,6.6625,30.1780342565223
0.4,0.4,180,180,6.675,28.7753890377847
0.4,0.4,180,180,6.6875,27.4899912684476
0.4,0.4,180,180,6.7,26.2738772077291
0.4,0.4,180,180,6.7125,25.095729733725
0.4,0.4,180,180,6.725,23.9365239100928
0.4,0.4,180,180,6.7375,22.7869652819043
0.4,0.4,180,180,6.75,21.6454208649732
0.4,0.4,180,180,6.7625,20.5158477779351
0.4,0.4,180,180,6.775,19.4056202614849
0.4,0.4,180,180,6.7875,18.3234425973176
0.4,0.4,180,180,6.8,17.2775897209372
0.4,0.4,180,180,6.8125,16.2746292322154
0.4,0.4,180,180,6.825,15.3187289846383
0.4,0.4,180,180,6.8375,14.4114893669817
0.4,0.4,180,180,6.85,13.5521711253295
0.4,0.4,180,180,6.8625,12.7381790978266
0.4,0.4,180,180,6.875,11.9656586597301
0.4,0.4,180,180,6.8875,11.2301292211989
0.4,0.4,180,180,6.9,10.5270896920581
0.4,0.4,180,180,6.9125,9.85260418380106
0.4,0.4,180,180,6.925,9.20391300782032
0.4,0.4,180,180,6.9375,8.5801195110944
0.4,0.4,180,180,6.95,7.98306695298227
0.4,0.4,180,180,6.9625,7.41850551856332
0.4,0.4,180,180,6.975,6.89764993583886
0.4,0.4,180,180,6.9875,6.43905746994226
0.4,0.4,180,180,7,6.07032956293173
0.4,0.4,180,180,7.0125,5.82819811808626
0.4,0.4,180,180,7.025,5.75465854038858
0.4,0.4,180,180,7.0375,5.88774636390303
0.4,0.4,180,180,7.05,6.25041799395144
0.4,0.4,180,180,7.0625,6.84536484562681
0.4,0.4,180,180,7.075,7.65956325567383
0.4,0.4,180,180,7.0875,8.67376720356893
0.4,0.4,180,180,7.1,9.87054422137411
0.4,0.4,180,180,7.1125,11.2389561104901
0.4,0.4,180,180,7.125,12.7773719393053
0.4,0.4,180,180,7.1375,14.4966113969113
0.4,0.4,180,180,7.15,16.4256486129478
0.4,0.4,180,180,7.1625,18.6233728413121
0.4,0.4,180,180,7.175,21.2050857156318
0.4,0.4,180,180,7.1875,24.4117057254056
0.4,0.4,180,180,7.2,28.8442021935276
0.4,0.4,180,180,7.2125,36.823150493737
0.4,0.4,180,180,7.225,45.3122165855218
0.4,0.4,180,180,7.2375,32.4482897665992
0.4,0.4,180,180,7.25,27.6811973187167
0.4,0.4,180,180,7.2625,24.7104249314093
0.4,0.4,180,180,7.275,22.531078193609
0.4,0.4,180,180,7.2875,20.7869129479509
0.4,0.4,180,180,7.3,19.3124902262849
0.4,0.4,180,180,7.3125,18.0201064450017
0.4,0.4,180,180,7.325,16.8605381897475
0.4,0.4,180,180,7.3375,15.8065849787769
0.4,0.4,180,180,7.35,14.8453785280771
0.4,0.4,180,180,7.3625,13.974581541202
0.4,0.4,180,180,7.375,13.200476930627
0.4,0.4,180,180,7.3875,12.5368963977695
0.4,0.4,180,180,7.4,12.0042743226421
0.4,0.4,180,180,7.4125,11.628183030839
0.4,0.4,180,180,7.425,11.436891779158
0.4,0.4,180,180,7.4375,11.4580024301108
0.4,0.4,180,180,7.45,11.7151407769173
0.4,0.4,180,180,7.4625,12.2264930280887
0.4,0.4,180,180,7.475,13.0069104363027
0.4,0.4,180,180,7.4875,14.0744073523809
0.4,0.4,180,180,7.5,15.4616247778552
0.4,0.4,180,180,7.5125,17.2353301207129
0.4,0.4,180,180,7.525,19.5361914429575
0.4,0.4,180,180,7.5375,22.6855547040432
0.4,0.4,180,180,7.55,27.6006206444809
0.4,0.4,180,180,7.5625,39.5627165889425
0.4,0.4,180,180,7.575,33.9381377620882
0.4,0.4,180,180,7.5875,25.9722478251756
0.4,0.4,180,180,7.6,21.9112764338985
0.4,0.4,180,180,7.6125,19.1512608381946
