"Freq [GHz]","dB(S(1,1)) []"
6,-2.24436430521846
6.0125,-2.2451131438488
6.025,-2.24611378305939
6.0375,-2.24736389074339
6.05,-2.24886136034191
6.0625,-2.25060430935441
6.075,-2.25259107800369
6.0875,-2.25482022807891
6.1,-2.25729054195577
6.1125,-2.2600010218207
6.125,-2.26295088910603
6.1375,-2.26613958414917
6.15,-2.26956676608515
6.1625,-2.27323231299378
6.175,-2.2771363222975
6.1875,-2.28127911143694
6.2,-2.28566121882381
6.2125,-2.2902834050925
6.225,-2.29514665464856
6.2375,-2.30025217754373
6.25,-2.3056014116742
6.2625,-2.31119602532287
6.275,-2.31703792005754
6.2875,-2.32312923399657
6.3,-2.32947234545979
6.3125,-2.33606987701814
6.325,-2.34292469995645
6.3375,-2.35003993917104
6.35,-2.35741897851403
6.3625,-2.36506546660891
6.375,-2.37298332315366
6.3875,-2.38117674573457
6.4,-2.38965021717651
6.4125,-2.39840851344113
6.425,-2.40745671212427
6.4375,-2.41680020154703
6.45,-2.42644469049927
6.4625,-2.43639621864874
6.475,-2.44666116765621
6.4875,-2.45724627302915
6.5,-2.46815863675426
6.5125,-2.47940574074468
6.525,-2.49099546115211
6.5375,-2.50293608357878
6.55,-2.51523631924752
6.5625,-2.52790532217258
6.575,-2.54095270739824
6.5875,-2.55438857034702
6.6,-2.56822350735481
6.6125,-2.58246863744982
6.625,-2.59713562544993
6.6375,-2.61223670644949
6.65,-2.62778471178021
6.6625,-2.64379309652393
6.675,-2.66027596867472
6.6875,-2.67724812003605
6.7,-2.69472505896499
6.7125,-2.71272304506032
6.725,-2.73125912591556
6.7375,-2.75035117605322
6.75,-2.77001793817231
6.7625,-2.79027906683658
6.775,-2.81115517475481
6.7875,-2.83266788179903
6.8,-2.85483986692026
6.8125,-2.8776949231289
6.825,-2.90125801572036
6.8375,-2.92555534392427
6.85,-2.95061440617735
6.8625,-2.97646406922064
6.875,-3.00313464123263
6.8875,-3.03065794922265
6.9,-3.05906742090869
6.9125,-3.08839817131871
6.925,-3.11868709436126
6.9375,-3.14997295961111
6.95,-3.18229651456183
6.9625,-3.2157005926093
6.975,-3.25023022700756
6.9875,-3.28593277106696
7,-3.32285802481471
7.0125,-3.36105836837753
7.025,-3.40058890227408
7.0375,-3.44150759482742
7.05,-3.48387543683249
7.0625,-3.52775660360376
7.075,-3.57321862444116
7.0875,-3.62033255949252
7.1,-3.66917318389971
7.1125,-3.71981917898871
7.125,-3.77235333012477
7.1375,-3.82686273067434
7.15,-3.88343899130371
7.1625,-3.94217845355496
7.175,-4.0031824063483
7.1875,-4.06655730362258
7.2,-4.13241498088539
7.2125,-4.20087286782631
7.225,-4.27205419346015
7.2375,-4.34608817940945
7.25,-4.42311021591028
7.2625,-4.50326201384585
7.275,-4.58669172467008
7.2875,-4.67355401819678
7.3,-4.76401010609237
7.3125,-4.85822769622611
7.325,-4.95638085985413
7.3375,-5.05864978976926
7.35,-5.16522042283885
7.3625,-5.27628389483818
7.375,-5.39203578865036
7.3875,-5.51267512879693
7.4,-5.63840306553351
7.4125,-5.76942118001361
7.425,-5.90592932812302
7.4375,-6.04812292400347
7.45,-6.19618954482355
7.4625,-6.35030471560121
7.475,-6.51062670667343
7.4875,-6.67729014688576
7.5,-6.85039822299799
7.5125,-7.03001320152771
7.525,-7.2161449754879
7.5375,-7.40873730906117
7.55,-7.60765143503983
7.5625,-7.81264666285723
