"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.4,0.6,180,180,4,7.81943264426714
0.4,0.6,180,180,4.0125,7.72733082960706
0.4,0.6,180,180,4.025,7.6548585044677
0.4,0.6,180,180,4.0375,7.60236793486385
0.4,0.6,180,180,4.05,7.57006341492366
0.4,0.6,180,180,4.0625,7.55799016383857
0.4,0.6,180,180,4.075,7.5660257175346
0.4,0.6,180,180,4.0875,7.5938805401062
0.4,0.6,180,180,4.1,7.64110248859318
0.4,0.6,180,180,4.1125,7.70708811689866
0.4,0.6,180,180,4.125,7.79109909736045
0.4,0.6,180,180,4.1375,7.8922804605283
0.4,0.6,180,180,4.15,8.00968267821832
0.4,0.6,180,180,4.1625,8.14228170138806
0.4,0.6,180,180,4.175,8.28900003204166
0.4,0.6,180,180,4.1875,8.44872445135011
0.4,0.6,180,180,4.2,8.62032046655862
0.4,0.6,180,180,4.2125,8.80264698894184
0.4,0.6,180,180,4.225,8.99456419856793
0.4,0.6,180,180,4.2375,9.19493970840787
0.4,0.6,180,180,4.25,9.40265484068117
0.4,0.6,180,180,4.2625,9.61660381533902
0.4,0.6,180,180,4.275,9.83569519568429
0.4,0.6,180,180,4.2875,10.0588495856915
0.4,0.6,180,180,4.3,10.2849977140066
0.4,0.6,180,180,4.3125,10.513076646715
0.4,0.6,180,180,4.325,10.7420265852979
0.4,0.6,180,180,4.3375,10.9707863785708
0.4,0.6,180,180,4.35,11.1982906834953
0.4,0.6,180,180,4.3625,11.4234674794988
0.4,0.6,180,180,4.375,11.6452332673901
0.4,0.6,180,180,4.3875,11.8624950632068
0.4,0.6,180,180,4.4,12.0741459253123
0.4,0.6,180,180,4.4125,12.2790678706153
0.4,0.6,180,180,4.425,12.4761350413288
0.4,0.6,180,180,4.4375,12.6642138071125
0.4,0.6,180,180,4.45,12.8421696606383
0.4,0.6,180,180,4.4625,13.0088759236454
0.4,0.6,180,180,4.475,13.1632185852532
